;ITALIAN
gui/menu/research/description/mech_weapons_lava_gun_superior;La versione aggiornata dell'Immolator sfrutta la sua già formidabile potenza grazie a tecniche avanzate di focalizzazione del plasma che producono un fascio di plasma più caldo e concentrato.
gui/menu/research/description/mech_weapons_pickaxe_advanced;Incorporando un nuovo convertitore di energia cinetica, il piccone potenziato infligge più danni ai nemici sul suo cammino e copre un'area più ampia.
gui/menu/research/description/mech_weapons_pickaxe_extreme;Incorporando un nuovo convertitore di energia cinetica, il piccone potenziato infligge più danni ai nemici sul suo cammino e copre un'area più ampia.
gui/menu/research/description/mech_weapons_pickaxe_standard;Arma da mischia versatile che infligge danni all'impatto e invia una potente onda d'urto che si propaga attraverso il terreno. La sua onda d'urto può eliminare più nemici contemporaneamente o sfondare gli ostacoli.
gui/menu/research/description/mech_weapons_pickaxe_superior;Incorporando un nuovo convertitore di energia cinetica, il piccone potenziato infligge più danni ai nemici sul suo cammino e copre un'area più ampia.
gui/menu/research/description/mech_weapons_sonic_fist_advanced;Utilizzando una manipolazione energetica all'avanguardia, i Pugni sonici potenziati forniscono un immenso aumento della potenza di fuoco. Sofisticati amplificatori sonici creano potenti onde d'urto a ogni colpo, in grado di infliggere danni immensi.
gui/menu/research/description/mech_weapons_sonic_fist_extreme;Utilizzando una manipolazione energetica all'avanguardia, i Pugni sonici potenziati forniscono un immenso aumento della potenza di fuoco. Sofisticati amplificatori sonici creano potenti onde d'urto a ogni colpo, in grado di infliggere danni immensi.
gui/menu/research/description/mech_weapons_sonic_fist_standard;Con un tasso di attacco inferiore rispetto ai Power Fists, compensano con la capacità di scatenare un'onda d'urto concentrata che danneggia i nemici entro un breve raggio. Queste qualità rendono i Sonic Fists una scelta efficace per abbattere numerosi avversari.
gui/menu/research/description/mech_weapons_sonic_fist_superior;Utilizzando una manipolazione energetica all'avanguardia, i Pugni sonici potenziati forniscono un immenso aumento della potenza di fuoco. Sofisticati amplificatori sonici creano potenti onde d'urto a ogni colpo, in grado di infliggere danni immensi.
gui/menu/research/description/skill_antimatter_ball_advanced;La versione aggiornata dell'Antimatter Ball ha subito notevoli miglioramenti, tra cui una tecnologia di fusione avanzata che, al momento dell'impatto, provoca un'esplosione molto più grande e distruttiva.
gui/menu/research/description/skill_antimatter_ball_extreme;La versione aggiornata dell'Antimatter Ball ha subito notevoli miglioramenti, tra cui una tecnologia di fusione avanzata che, al momento dell'impatto, provoca un'esplosione molto più grande e distruttiva.
gui/menu/research/description/skill_antimatter_ball_standard;Il nucleo di fusione del Mecha-Suit viene utilizzato per creare un'arma potente sotto forma di palla di antimateria che vola in avanti ed emette un campo di energia mortale mentre viaggia. All'impatto, la palla scatena un'esplosione devastante che infligge danni immensi.
gui/menu/research/description/skill_antimatter_ball_superior;La versione aggiornata dell'Antimatter Ball ha subito notevoli miglioramenti, tra cui una tecnologia di fusione avanzata che, al momento dell'impatto, provoca un'esplosione molto più grande e distruttiva.
gui/menu/research/description/skill_flamewave_advanced;Il modulo abilità Flame Wave potenziato utilizza una tecnologia termo-oscillatoria brevettata, che surriscalda le sostanze chimiche prima dell'espulsione. L'esplosione risultante è significativamente più potente.
gui/menu/research/description/skill_flamewave_extreme;Il modulo abilità Flame Wave potenziato utilizza una tecnologia termo-oscillatoria brevettata, che surriscalda le sostanze chimiche prima dell'espulsione. L'esplosione risultante è significativamente più potente.
gui/menu/research/description/skill_flamewave_standard;Il modulo Flame Wave è un potenziamento avanzato delle abilità per la Mecha-Suit che le consente di proiettare un'onda conica di sostanze chimiche infiammabili. Questa esplosione infuocata può causare danni significativi ai nemici intrappolati nel suo percorso.
gui/menu/research/description/skill_flamewave_superior;Il modulo abilità Flame Wave potenziato utilizza una tecnologia termo-oscillatoria brevettata, che surriscalda le sostanze chimiche prima dell'espulsione. L'esplosione risultante è significativamente più potente.
gui/menu/research/description/tower_acid_spitter_lvl1;Formidabile struttura difensiva che sputa acido fluoridrico concentrato sul terreno, creando una pozza che danneggia le forze nemiche. Con un meccanismo di fuoco rapido, questa torre può saturare intere aree di acido.
gui/menu/research/description/tower_acid_spitter_lvl2;La versione aggiornata della Torre Spara-Acido presenta un design all'avanguardia che utilizza nanomateriali avanzati per aumentare la gittata e i danni dei proiettili acidi.
gui/menu/research/description/tower_acid_spitter_lvl3;La versione aggiornata della Torre Spara-Acido presenta un design all'avanguardia che utilizza nanomateriali avanzati per aumentare la gittata e i danni dei proiettili acidi.
gui/menu/research/description/tower_gatling_laser_lvl1;Pinnacolo della tecnologia difensiva, che vanta un emettitore di impulsi ad alta frequenza in grado di sparare rapidamente raffiche di fotoni focalizzati al laser. I sistemi avanzati di accumulo di energia e di puntamento della torre consentono di sostenere un flusso di fuoco pressoché continuo.
gui/menu/research/description/tower_gatling_laser_lvl2;La torre laser Gatling potenziata vanta un nucleo di potenza all'avanguardia e sofisticati sistemi di controllo del raggio che le consentono di erogare raffiche di energia concentrata ancora più devastanti.
gui/menu/research/description/tower_gatling_laser_lvl3;La torre laser Gatling potenziata vanta un nucleo di potenza all'avanguardia e sofisticati sistemi di controllo del raggio che le consentono di erogare raffiche di energia concentrata ancora più devastanti.
gui/menu/research/description/tower_portal_lvl1;Attraverso l'utilizzo della tecnologia dei portali, questa struttura di difesa dispiega un esplosivo specializzato, mirato a nemici ostili distanti. Con la consegna istantanea del carico utile, questo sistema d'arma offre un vantaggio senza precedenti rispetto all'artiglieria tradizionale.
gui/menu/research/description/tower_portal_lvl2;La versione avanzata della Portal Bomb Tower impiega un modulo destabilizzatore quantistico per aumentare il potenziale distruttivo delle sue testate.
gui/menu/research/description/tower_portal_lvl3;La versione avanzata della Portal Bomb Tower impiega un modulo destabilizzatore quantistico per aumentare il potenziale distruttivo delle sue testate.
gui/menu/research/description/trap_fire_lvl1;La trappola di fuoco rileva la presenza del nemico e diffonde una miscela di nanogel, provocando un incendio in grado di infliggere danni gravi a tutti gli organismi viventi nelle vicinanze.
gui/menu/research/description/trap_fire_lvl2;Grazie all'uso di composti pirotecnici avanzati, questa trappola di fuoco migliorata può ora creare un incendio molto più grande e intenso, infliggendo danni notevolmente maggiori alle entità ostili che lo innescano.
gui/menu/research/description/trap_fire_lvl3;Grazie all'uso di composti pirotecnici avanzati, questa trappola di fuoco migliorata può ora creare un incendio molto più grande e intenso, infliggendo danni notevolmente maggiori alle entità ostili che lo innescano.
gui/menu/research/description/wall_crystal_lvl1;Un'innovativa struttura difensiva composta da cristalli sintetizzati provenienti dalle profondità sotterranee di Galatea 37. I cristalli sintetici si rompono in schegge frastagliate che infliggono danni significativi a tutti i nemici nelle vicinanze quando l'edificio viene distrutto.
gui/menu/research/description/wall_crystal_lvl2;Introducendo una struttura reticolare complessa nel processo di sintesi dei cristalli, le pareti risultanti diventano più forti e resistenti.
gui/menu/research/description/wall_crystal_lvl3;Introducendo una struttura reticolare complessa nel processo di sintesi dei cristalli, le pareti risultanti diventano più forti e resistenti.
gui/menu/research/name/consumable_sonic_grenades_advanced;Granate soniche - Avanzate
gui/menu/research/name/consumable_sonic_grenades_extreme;Granate soniche - Estremo
gui/menu/research/name/consumable_sonic_grenades_standard;Granate soniche - Standard
gui/menu/research/name/consumable_sonic_grenades_superior;Granate soniche - Superiori
gui/menu/research/name/drone_mine_lvl1;Raccolta automatizzata delle risorse – Livello 1
gui/menu/research/name/drone_mine_lvl2;Raccolta automatizzata delle risorse – Livello 2
gui/menu/research/name/drone_mine_lvl3;Raccolta automatizzata delle risorse – Livello 3
gui/menu/research/name/energy_pylon_lvl1;Sistema di relè energetico
gui/menu/research/name/mech_upgrade_discovery_tools_advanced;Strumenti di scoperta Mech - Avanzati
gui/menu/research/name/mech_upgrade_discovery_tools_extreme;Strumenti di scoperta meccanica - Estremo
gui/menu/research/name/mech_upgrade_discovery_tools_standard;Strumenti di scoperta meccanica - Standard
gui/menu/research/name/mech_upgrade_discovery_tools_superior;Strumenti di scoperta meccanica - Superiori
gui/menu/research/name/mech_upgrade_gathering_tools_advanced;Strumenti di raccolta Mech - Avanzati
gui/menu/research/name/mech_upgrade_gathering_tools_extreme;Strumenti di raccolta Mech - Estremo
gui/menu/research/name/mech_upgrade_gathering_tools_standard;Strumenti di raccolta Mech - Standard
gui/menu/research/name/mech_upgrade_gathering_tools_superior;Strumenti di raccolta Mech - Superiori
gui/menu/research/name/mech_weapons_acid_spitter_advanced;Acid Spewer - Avanzato
gui/menu/research/name/mech_weapons_acid_spitter_extreme;Acid Spewer - Estremo
gui/menu/research/name/mech_weapons_acid_spitter_standard;Acid Spewer - Standard
gui/menu/research/name/mech_weapons_acid_spitter_superior;Acid Spewer - Superiore
gui/menu/research/name/mech_weapons_bouncing_blades_advanced;Lame rimbalzanti - Avanzate
gui/menu/research/name/mech_weapons_bouncing_blades_extreme;Lame rimbalzanti - Estremo
gui/menu/research/name/mech_weapons_bouncing_blades_standard;Lame rimbalzanti - Standard
gui/menu/research/name/mech_weapons_bouncing_blades_superior;Lame rimbalzanti - Superiori
gui/menu/research/name/mech_weapons_cryo_spitter_advanced;Cryo Spewer - Avanzato
gui/menu/research/name/mech_weapons_cryo_spitter_extreme;Cryo Spewer - Estremo
gui/menu/research/name/mech_weapons_cryo_spitter_standard;Spewer criogenico - Standard
gui/menu/research/name/mech_weapons_cryo_spitter_superior;Cryo Spewer - Superiore
gui/menu/research/name/mech_weapons_crystal_gun_advanced;Shard Gun - Avanzato
gui/menu/research/name/mech_weapons_crystal_gun_extreme;Pistola a frammenti - Estremo
gui/menu/research/name/mech_weapons_crystal_gun_standard;Pistola a frammenti - Standard
gui/menu/research/name/mech_weapons_crystal_gun_superior;Shard Gun - Superiore
gui/menu/research/name/mech_weapons_fire_spitter_advanced;Sparafuoco - Avanzato
gui/menu/research/name/mech_weapons_fire_spitter_extreme;Lanciafuoco - Estremo
gui/menu/research/name/mech_weapons_fire_spitter_standard;Lanciafuoco - Standard
gui/menu/research/name/mech_weapons_fire_spitter_superior;Lanciafuoco - Superiore
gui/menu/research/name/mech_weapons_lava_gun_advanced;Immolatore - Avanzato
gui/menu/research/name/mech_weapons_lava_gun_extreme;Immolatore - Estremo
gui/menu/research/name/mech_weapons_lava_gun_standard;Immolatore - Standard
gui/menu/research/name/mech_weapons_lava_gun_superior;Immolatore - Superiore
gui/menu/research/name/mech_weapons_pickaxe_advanced;Piccone - Avanzato
gui/menu/research/name/mech_weapons_pickaxe_extreme;Piccone - Estremo
gui/menu/research/name/mech_weapons_pickaxe_standard;Piccone - Standard
gui/menu/research/name/mech_weapons_pickaxe_superior;Piccone - Superiore
gui/menu/research/name/mech_weapons_sonic_fist_advanced;Pugno sonico - Avanzato
gui/menu/research/name/mech_weapons_sonic_fist_extreme;Pugno sonico - Estremo
gui/menu/research/name/mech_weapons_sonic_fist_standard;Pugno sonico - Standard
gui/menu/research/name/mech_weapons_sonic_fist_superior;Pugno sonico - Superiore
gui/menu/research/name/skill_antimatter_ball_advanced;Palla di antimateria - Avanzata
gui/menu/research/name/skill_antimatter_ball_extreme;Palla di antimateria - Estremo
gui/menu/research/name/skill_antimatter_ball_standard;Palla di antimateria - Standard
gui/menu/research/name/skill_antimatter_ball_superior;Palla di antimateria - Superiore
gui/menu/research/name/skill_flamewave_advanced;Onda di fiamma - Avanzato
gui/menu/research/name/skill_flamewave_extreme;Onda di fiamma - Estremo
gui/menu/research/name/skill_flamewave_standard;Onda di fiamma - Standard
gui/menu/research/name/skill_flamewave_superior;Onda di fiamma - Superiore
gui/menu/research/name/tower_acid_spitter_lvl1;Torri di sputa-acido – Livello 1
gui/menu/research/name/tower_acid_spitter_lvl2;Torri di sputa-acido – Livello 2
gui/menu/research/name/tower_acid_spitter_lvl3;Torri di sputa-acido – Livello 3
gui/menu/research/name/tower_gatling_laser_lvl1;Torri laser Gatling – Livello 1
gui/menu/research/name/tower_gatling_laser_lvl2;Torri laser Gatling – Livello 2
gui/menu/research/name/tower_gatling_laser_lvl3;Torri laser Gatling – Livello 3
gui/menu/research/name/tower_portal_lvl1;Torri Portali Bomba – Livello 1
gui/menu/research/name/tower_portal_lvl2;Torri Portali Bomba – Livello 2
gui/menu/research/name/tower_portal_lvl3;Torri Portali Bomba – Livello 3
gui/menu/research/name/trap_fire_lvl1;Trappole di fuoco – Livello 1
gui/menu/research/name/trap_fire_lvl2;Trappole di fuoco – Livello 2
gui/menu/research/name/trap_fire_lvl3;Trappole di fuoco – Livello 3
gui/menu/research/name/wall_crystal_lvl1;Pareti di cristallo – Livello 1
gui/menu/research/name/wall_crystal_lvl2;Pareti di cristallo – Livello 2
gui/menu/research/name/wall_crystal_lvl3;Pareti di cristallo – Livello 3
gui/menu/sandbox_control_panel/unlimited_ammo;Solo munizioni illimitate
gui/menu/settings/reflections;Riflessi dello spazio sullo schermo
gui/menu/settings/reflections_description;Screen Space Reflections è un metodo efficiente in termini di prestazioni per generare riflessi di bell'aspetto utilizzando gli oggetti che sono già visibili sullo schermo. Abilitare questa funzione potrebbe ridurre leggermente i tuoi FPS.
gui/menu/settings/ultra_performance;Prestazioni ultra
gui/menu/settings/volumetric_lighting;Illuminazione volumetrica
gui/menu/settings/volumetric_lighting_description;Questa tecnica di rendering aggiunge effetti di illuminazione avanzati alla scena per simulare meglio la nebbia, la densità dell'aria e altri aerosol. Consente all'osservatore di vedere fasci di luce che brillano nell'ambiente.
gui/popup/discard_mod_changes;Vuoi davvero scartare le modifiche alle mod? Le mod appena selezionate non verranno installate!
gui/popup/issue_steam_old_dll;Il gioco ha riscontrato un problema con la versione Steam attualmente installata. Installa l'ultima versione del client Steam e riprova.
gui/popup/mods_warning;I contenuti modificati non sono ufficialmente supportati da EXOR Studios e vengono forniti così come sono.\nL'installazione di mod potrebbe causare il malfunzionamento del gioco!
gui/popup/restart_game_modding;Il gioco deve essere riavviato per applicare le modifiche. Vuoi davvero riavviare il gioco?
gui/popup/safe_mode;Il Riftbreaker non si è spento correttamente l'ultima volta che è stato avviato. Vuoi avviare il gioco in modalità provvisoria? Questo disabiliterà tutte le tue mod e ripristinerà tutte le impostazioni grafiche ai loro valori predefiniti. Questo NON ripristinerà le impostazioni di gioco e di controllo.
gui/popup/safe_mode_launcher;Questo disabiliterà tutte le tue Mod e ripristinerà tutte le impostazioni grafiche ai loro valori predefiniti. Questo NON ripristinerà le tue impostazioni di gioco e di controllo.
gui/popup/terms_of_use/email_code;Codice di verifica inviato al tuo indirizzo e-mail.
gui/popup/terms_of_use/error;Si è verificato un errore durante l'elaborazione della richiesta: ${error_code}
gui/popup/terms_of_use/modio;Utilizziamo mod.io per supportare i contenuti generati dagli utenti nel gioco. Cliccando su 'Accetto' accetti i Termini di utilizzo di mod.io e verrà creato un account mod.io per te. Consulta l'Informativa sulla privacy di mod.io per sapere come mod.io elabora i tuoi dati personali.
gui/popup/xbox_save_sync;La console è attualmente impegnata a sincronizzare il tuo stato utente e non siamo in grado di continuare. Attendi e riprova tra un momento. Se il problema persiste, segnalalo andando su: XBOX Assist -> Ottieni assistenza -> Trova ulteriore assistenza online. Attenzione: riavviare la console prima del completamento della sincronizzazione potrebbe causare la perdita dei progressi.
gui/popup/xbox_save_sync_header;AVVERTIMENTO!
launcher/button/safe_mode;Modalità provvisoria
launcher/label/disable_mods;Disattiva tutte le mod
launcher/label/reset_config_values;Ripristina i valori di configurazione
monster_description/arachnoid_crystal;Arachnomortus è un avversario formidabile, che sfoggia un metodo di attacco potente e unico. Utilizzando le proprietà innate dei cristalli sintetizzati, Arachnomortus è in grado di lanciare schegge di cristallo affilate come rasoi contro i suoi bersagli con incredibile precisione e velocità.
monster_description/canoptrix_crystal;I Canomortus sono piccole creature infuse di cristalli che assomigliano ai Canoptrix. Possono essere evocati dai Necrodon attraverso mezzi sconosciuti e i loro corpi sono fusi con escrescenze cristalline. Hanno un comportamento territoriale simile, attaccando qualsiasi intruso con artigli affilati e mascelle forti. Nonostante le loro piccole dimensioni, i loro corpi sono incredibilmente resistenti grazie all'infusione di cristalli, rendendoli difficili da sconfiggere.
monster_description/crawlog;I Crawlog sono una specie che vive in branco e si trova nelle caverne e nelle caverne di Galatea 37. Il loro aspetto pallido e ossuto e gli artigli affilati li rendono predatori formidabili. Ricoperti di formazioni cristalline luminose, si sono adattati all'oscurità del loro ambiente, usando la loro agilità e velocità per attaccare prede ignare. Ancora più terrificante, hanno la capacità di tornare dalla morte se non vengono completamente distrutti. Fai attenzione alla loro presenza e preparati ai loro attacchi implacabili.
monster_description/crysder;I crysder sono piccole creature pacifiche che vivono nelle grotte e nelle fessure di Galatea 37. Simili a paguri, portano un cristallo luminoso sulla schiena. I crysder sono noti per cercare cibo e spesso possono essere visti nutrirsi di funghi e altri funghi che crescono nelle grotte. Nonostante le loro piccole dimensioni, sono piuttosto veloci e agili, il che li rende difficili da catturare o danneggiare. Di conseguenza, vengono spesso lasciati soli dai predatori e da altre creature che potrebbero rappresentare una minaccia per loro.
monster_description/drillgor;Drillgor è un gigantesco bestione che domina i tunnel sotterranei di Galatea 37. I suoi artigli enormi e affilati come rasoi sono in grado di squarciare la roccia solida, scavando tunnel che si estendono per chilometri. Il suo aspetto è a dir poco intimidatorio, con un carapace che ricorda un crostaceo e due corna ricurve che ne adornano la testa. Si muove con una velocità e una grazia terrificanti per una creatura delle sue dimensioni, in grado di coprire enormi distanze in pochi secondi. Drillgor è una forza da non sottovalutare nelle profondità oscure e insidiose delle caverne del pianeta.
monster_description/gulgor;I Gulgor sono pericolosi rettili che si trovano nel bioma Crystal Caves di Galatea 37. I loro corpi ingombranti e gli artigli impressionanti li rendono predatori formidabili, ma la loro vera forza risiede nel loro attacco a distanza, che consiste nel rilasciare schegge di cristallo affilate come rasoi dalle loro guance gonfie. I Gulgor possono anche scavare rapidamente sottoterra e tendere agguati alle prede, il che li rende difficili da rintracciare ed evitare. Dopo la morte, i loro corpi sembrano essere consumati dalla terra, lasciando dietro di sé pilastri di cristallo come un inquietante ricordo della loro presenza.
monster_description/moltug_crystal;Crystug è una creatura lenta, simile a una lumaca, che vaga per le caverne di Galatea 37. La sua caratteristica più sorprendente è il cristallo gigante e luminoso che sporge dalla sua schiena, che fornisce sia protezione sia un modo per raccogliere e conservare risorse. I Crystug sono noti per raccogliere e nascondere vari frammenti di risorse che cadono dal guscio alla loro morte, il che li rende un bersaglio prezioso per i cercatori di risorse.
monster_description/stregaros_crystal;Crystaros è una creatura impressionante, adornata da una serie di cristalli affilati e scintillanti che sporgono dal suo corpo. La sua caratteristica più evidente sono le due braccia giganti con una crescita torreggiante, simile a uno scudo, fatta di cristalli su di esse. Questa specie si nutre anche di cristalli e la sua dieta sembra aver influenzato la struttura del suo corpo.
monster_description/viremoth;Viremoth è una creatura davvero enigmatica che può essere descritta solo come una nebbia senziente. È difficile dire se sia organica o innaturale, poiché sembra fuori dal mondo. Viremoth può manipolare la sua forma e densità, consentendogli di muoversi come una nebbia o condensarsi in una forma più solida. Può anche generare scariche elettriche che lo rendono un avversario formidabile se provocato. Tuttavia, Viremoth per lo più se ne sta per conto suo, fluttuando senza meta e osservando l'ambiente circostante
prop_description/bush_cibarium;Forse l'aspetto più sorprendente del Florium Cibarium è la bioluminescenza alle estremità sia dello stelo che dei rami. Le punte luminose emettono una luce morbida e pulsante, proiettando un bagliore ultraterreno che è allo stesso tempo ipnotizzante e inquietante. Si ritiene che la bioluminescenza serva da esca per attrarre insetti e altre piccole creature verso la pianta per l'impollinazione e la dispersione.
prop_description/cactus_vibro;Bulbus Tremor è un tipo insolito di cactus che cresce sottoterra, nascosto alla vista. La sua caratteristica più notevole è il grande stelo rotondo che può raggiungere diversi metri di diametro. Lo stelo è ricoperto da uno spesso strato di aghi di cristallo, che gli conferiscono un aspetto sbalorditivo e gli forniscono un meccanismo di difesa unico.
prop_description/crystal_edgy;Vitreus Silex è una spettacolare formazione cristallina che può raggiungere dimensioni impressionanti. È nota per le sue caratteristiche distintive di superfici ampie e piatte e cristalli allungati che sporgono verso l'esterno con punte piatte. Le formazioni cristalline possono variare di colore, in base all'elemento primario trovato nella struttura cristallina. Questi cristalli si formano in ambienti ad alta pressione, spesso in profondità nella crosta della Galatea, dove il calore e la pressione si combinano per creare formazioni sbalorditive.
prop_description/mushroom_exploding;Il fungo Displodo si trova più comunemente in ambienti bui e umidi, come grotte o tunnel sotterranei. È ricoperto di antenne, incredibilmente sensibili al tocco e alle vibrazioni. Quando le antenne entrano in contatto con qualcosa, l'intero fungo esplode in una scarica di sostanza bioluminescente. L'esplosione è abbastanza potente da far volare le spore in tutte le direzioni, diffondendo il fungo su un'ampia area.
prop_description/mushroom_flat_top;Fungus Plana è una specie di fungo peculiare che cresce fino a raggiungere altezze impressionanti, spesso raggiungendo diversi metri di altezza. La sua struttura unica è costituita da due steli spessi che si ergono dal terreno e sostengono un grande cappello piatto con diversi strati. Il cappello è solitamente circolare o ovale e può variare di colore dal marrone scuro al beige chiaro.
prop_description/mushroom_mycetoza;Fungus Mycetoza è uno spettacolo affascinante ma inquietante da vedere. Alto con il suo gambo relativamente sottile, ricoperto di filamenti di tessuto carnoso, sembra crescere dal nulla. La sua cima grande e spessa, ricoperta da intricati motivi di creste e scanalature, è uno spettacolo da vedere. Tuttavia, la caratteristica più sorprendente di questo fungo sono le sue appendici bioluminescenti che pendono dalla cima, che brillano nell'oscurità ed emettono un bagliore inquietante che illumina l'area circostante.
prop_description/tree_wyginus;Bratus Flectus è un albero unico che si distingue per i suoi numerosi steli sottili e flessibili. Man mano che gli steli salgono verso la cima, iniziano a convergere, unendosi insieme in un unico tronco. Proprio in cima al tronco si trova un grande calice, che funge da chioma per l'albero. Il calice è composto da diversi strati di foglie larghe e sottili che sono bioluminescenti.
voice_over/announcement/travel_not_unavailable;Viaggio non disponibile
gui/popup/corrupted_game_data;Rilevato archivio dati di gioco corrotto. Esci dal gioco e verifica l'integrità dei file di installazione del gioco.
gui/popup/save_state_missing_mods;Stai tentando di caricare uno stato di salvataggio creato con modifiche esterne al gioco (mod). Queste mod sono attualmente disabilitate o non installate. Di conseguenza, il gioco potrebbe bloccarsi quando si tenta di caricare questo stato di salvataggio, oppure potrebbe funzionare in modo imprevedibile. Sei sicuro di voler caricare questo stato di gioco?
gui/menu/settings/mute_out_of_focus;Disattiva finestra inattiva
biomes/caverns/caverns.biome;Caverne di cristallo
gui/hud/tooltip/activate;Attivare
