;ITALIAN
gui/hud/building_description/base_lamp;Fornisce luce durante la notte, deve essere collegato alla rete energetica.
gui/hud/building_description/bio_composter;Produce gas infiammabile dalla biomassa vegetale.
gui/hud/building_description/carbonium_factory;Produce Carbonio. Deve essere posizionato sul Minerale di Carbonio e alimentato con Energia per funzionare.
gui/hud/building_description/carbonium_powerplant;Deve essere costruito sopra un deposito di minerale di Carbonio. Fornisce una buona potenza in uscita ma consuma risorse dal deposito. Può usare solo Carbonio non raffinato direttamente dal terreno.
gui/hud/building_description/carbonium_synthesizer;Sintetizza il Carbonio dall'Energia. Può essere utilizzato come fonte infinita di Carbonio ma consuma molta energia nel processo, il che lo rende poco economico.
gui/hud/building_description/communications_hub;Consente di comunicare con la Terra tramite entanglement quantistico e di scaricare schemi per edifici e potenziamenti. Consente la ricerca. La trasmissione è istantanea indipendentemente dalla distanza, ma ha una larghezza di banda molto bassa.
gui/hud/building_description/cryo_station;Una stazione di raffreddamento rapido dell'ambiente autoalimentata. Questo edificio può essere posizionato per ridurre rapidamente la temperatura in ambienti molto caldi per consentire la costruzione di altre strutture.
gui/hud/building_description/crystal_collector;Invia droni automatici che raccolgono risorse di cristallo in un raggio attorno all'edificio.
gui/hud/building_description/energy_connector;Collega gli edifici alla rete elettrica entro il suo raggio operativo.
gui/hud/building_description/energy_storage;Immagazzina una notevole quantità di energia. Ideale per l'uso con fonti di energia intermittenti come i pannelli solari per creare un buffer energetico.
gui/hud/building_description/eraser_tool;Questo strumento consente alla Mecha-Suit di entrare in modalità rimozione pavimento.
gui/hud/building_description/floor_acid;Questa è una versione del pavimento resistente alla corrosione. Protegge gli edifici di base dalla corrosione acida come quella causata dalle colonie di lievito acido
gui/hud/building_description/floor_concrete;Pavimento di cemento di base. Aumenta la velocità di movimento della tuta Mecha e ha un aspetto migliore di sabbia e rocce.
gui/hud/building_description/floor_default;Pavimento di metallo di base. Aumenta la velocità di movimento della tuta Mecha e ha un aspetto migliore di sabbia e rocce.
gui/hud/building_description/floor_desert;Questa versione del pavimento fornisce ulteriore stabilità agli edifici di base. Consente di costruire edifici sopra la sabbia mobile.
gui/hud/building_description/floor_steam;Pavimento con logo Steam. Aumenta la velocità di movimento della tuta Mecha e ha un aspetto migliore di sabbia e rocce.
gui/hud/building_description/flora_collector;Invia droni automatici che raccolgono flora aliena in un raggio attorno all'edificio. Questo processo genera tutti i tipi di risorse a seconda di cosa è stato raccolto.
gui/hud/building_description/flora_cultivator;Questa pianta pianta piante :)
gui/hud/building_description/fusion_field_accelerator;Crea un potente campo di fusione nucleare che accelera le iperparticelle condensate a una velocità superiore a quella della luce. Le iperparticelle super cariche contenute in un campo magnetico controllato diventano il tessuto del portale del cancello quantico.
gui/hud/building_description/fusion_powerplant;Produzione di energia molto elevata. Produce risorse di plasma come sottoprodotto.
gui/hud/building_description/gas_filtering_plant;Raffina i fanghi per produrre gas infiammabile che viene utilizzato come combustibile dalle centrali elettriche a gas. Richiede un flusso costante di fanghi che può essere collegato tramite condotte.
gui/hud/building_description/gas_powerplant;Produce una notevole quantità di energia ma necessita di gas infiammabile per funzionare.
gui/hud/building_description/geothermal_powerplant;Deve essere costruito sopra una sorgente geotermica. Produce notevoli quantità di energia.
gui/hud/building_description/headquarters;L'edificio centrale della tua base. Permette alla Mecha-Suit di ricostruirsi, include un portale di spaccatura e fornisce strutture di stoccaggio. Proteggi questo edificio a tutti i costi.
gui/hud/building_description/hitech_structure;Strutture sintetiche osservate per la prima volta nel bioma della Metallic Valley. Adattate a scopo decorativo per dare alla tua base un aspetto futuristico.
gui/hud/building_description/hyper_particle_condenser;Genera e condensa iperparticelle di materia oscura utilizzando una serie di condensatori quantistici con nucleo di palladio.
gui/hud/building_description/ionizer;Produce Plasma da altre risorse.
gui/hud/building_description/ironium_synthesizer;Sintetizza Ironium usando Energy. Può essere utilizzato in situazioni di emergenza quando Ironium è esaurito ma Energy è abbondante.
gui/hud/building_description/laboratory;Fornisce strutture di ricerca avanzate, necessarie per sviluppare tecnologie basate sulla fauna e sulla flora extraterrestre.
gui/hud/building_description/liquid_compressor;Questa struttura viene utilizzata per comprimere risorse liquide a livello subatomico per consentirne il trasporto su lunghe distanze utilizzando la tecnologia Rift.
gui/hud/building_description/liquid_decompressor;Il terminale di ricezione per i liquidi trasportati tramite la Rift Technology. Questa struttura ripristina i liquidi trattati dal Liquid Compressor alla loro forma originale.
gui/hud/building_description/liquid_material_storage;Conserva una quantità significativa di liquido o gas. Può conservare solo un tipo di risorsa alla volta e deve essere collegato a delle condotte per funzionare.
gui/hud/building_description/liquid_pump;Pompa risorse liquide da pozze sparse in tutto il pianeta. Le pompe non possono funzionare troppo vicine l'una all'altra.
gui/hud/building_description/magma_powerplant;Utilizza Magma liquido per produrre grandi quantità di Energia. Deve essere collegato al Magma liquido tramite Condotte.
gui/hud/building_description/mast;Bandiera decorativa per la base del Riftbreaker. Non ha alcuna funzione particolare, se non quella di decorazione.
gui/hud/building_description/morphium_powerplant;Questa centrale elettrica cattura l'energia in eccesso derivante dai processi di sintesi e decadimento nucleare che si verificano naturalmente nel Morphium. Fornisce alla rete elettrica un flusso costante di energia a bassi costi di manutenzione.
gui/hud/building_description/nuclear_powerplant;Ha una produzione di energia molto elevata. Richiede uranio per funzionare.
gui/hud/building_description/outpost;Una versione in miniatura dell'edificio del quartier generale. Può essere costruito durante le missioni planetarie per trasportare risorse da basi remote alla base principale tramite tecnologia di rift. Consente alla Mecha-Suit di ricostruirsi.
gui/hud/building_description/pipe_straight;Trasporta liquidi, gas e plasma. Utilizzato per collegare vari edifici che necessitano di una fonte di combustibile per funzionare. Può trasportare e immagazzinare solo un tipo o risorsa alla volta.
gui/hud/building_description/planet_scanner;Esegue costantemente la scansione dell'intero pianeta per rilevare risorse preziose, artefatti, nuove specie e altri fenomeni al di fuori dell'area di base principale. Consente il salto di spaccatura verso missioni planetarie.
gui/hud/building_description/plant_biomass_powerplant;Produce energia dalla biomassa vegetale ricavata dal fogliame distrutto.
gui/hud/building_description/plasma_converter;Converte il plasma in plasma sovralimentato utilizzando grandi quantità di energia.
gui/hud/building_description/portal;Crea una frattura nello spaziotempo consentendo il viaggio immediato verso la sua posizione.
gui/hud/building_description/pot;Pianta decorativa per la base del Riftbreaker. Non ha alcuna funzione particolare, se non quella di decorazione.
gui/hud/building_description/pumpkin;Funziona come un connettore energetico
gui/hud/building_description/quantum_gate_stabilizer;Richiesto per stabilizzare il cancello quantico che contiene l'effettivo portale di rift. Senza questo componente, il malfunzionamento del cancello quantico potrebbe disintegrare l'oggetto che entra nel portale.
gui/hud/building_description/rare_element_mine;Estrae risorse rare come Uranio, Titanio e Palladio. Deve essere posizionato su un deposito di minerale e alimentato con Energia per funzionare.
gui/hud/building_description/repair_facility;Ripara gli edifici danneggiati in un raggio attorno a questa struttura utilizzando droni automatizzati.
gui/hud/building_description/repair_tool;Questo strumento consente al Mecha-Suit di entrare in modalità riparazione edifici. In questa modalità è possibile riparare più edifici uno alla volta, senza la necessità di occuparsene individualmente.
gui/hud/building_description/research_station;Questo edificio contiene un robusto set di sensori e strutture di analisi. Viene utilizzato per raccogliere dati di ricerca da oggetti o anomalie che sono troppo complicati per essere scansionati dall'Equipaggiamento da campo del signor Rigg.
gui/hud/building_description/rift_magnetic_stabilizer;Stabilizza il grande portale di spaccatura. Richiede acqua o superrefrigerante per funzionare.
gui/hud/building_description/rift_magnetic_stabilizer_alien;Stabilizza il grande portale di spaccatura con tecnologia aliena. Più avanzato della versione standard. Non necessita di raffreddamento.
gui/hud/building_description/rift_station;Questa è la grande spaccatura che può collegare pianeti in diverse parti della galassia. Può aprire una spaccatura che riporta sulla Terra.
gui/hud/building_description/sell_tool;Questo strumento consente al Mecha-Suit di entrare in modalità vendita edifici. Ogni edificio selezionato mentre lo strumento è attivo verrà venduto. I materiali verranno trasportati di nuovo al magazzino.
gui/hud/building_description/shield_generator;Aggiunge protezione con scudo a tutte le strutture in un raggio.
gui/hud/building_description/short_range_radar;Fornisce copertura radar e consente alle torri di difesa di sparare oltre il loro raggio visivo. Rileva entità ostili e le mostra sulla mappa. Ottimo per individuare attacchi in arrivo.
gui/hud/building_description/solar_panels;Fornisce energia durante le ore diurne. Si spegne automaticamente durante la notte o quando il sole non è visibile, ad esempio durante forti temporali.
gui/hud/building_description/solid_material_storage;Raccoglie automaticamente (utilizzando la tecnologia Rift) e memorizza materiali solidi. Espande lo spazio di archiviazione globale per tutti i materiali solidi.
gui/hud/building_description/statue;Statua decorativa per la base del Riftbreaker. Non ha alcuna funzione particolare, se non quella di decorazione.
gui/hud/building_description/steel_factory;Produce Ironio. Deve essere posizionato sui depositi di minerale di ferro.
gui/hud/building_description/supercoolant_refinery;Produce una risorsa superrefrigerante per edifici avanzati.
gui/hud/building_description/switch_tool;Questo strumento consente di accendere o spegnere uno o più edifici. Può aiutare nella gestione dell'alimentazione in situazioni in cui la rete elettrica è sottoposta a un carico elevato.
gui/hud/building_description/tombstone;Funziona come un muro.
gui/hud/building_description/tower_aa_basic;Torre difensiva antiaerea di base. Spara proiettili energetici ad alta velocità a una velocità di fuoco limitata. Ogni colpo consuma energia dalla riserva energetica principale.
gui/hud/building_description/tower_alien_influence;Una torre difensiva basata sulla tecnologia Morphium. Le proprietà uniche di Morphium eliminano qualsiasi requisito di potenza e IA aggiuntivo. Inoltre, questa torre può essere posizionata direttamente su pozze liquide.
gui/hud/building_description/tower_ammunition_factory;Produce munizioni per le torri di difesa.
gui/hud/building_description/tower_artillery;Spara proiettili esplosivi a lunga distanza. Molto efficace contro gruppi di nemici. Può sparare più lontano del suo raggio visivo. Richiede una Tower Ammunition Factory per funzionare.
gui/hud/building_description/tower_basic;Torre difensiva di base. Spara proiettili energetici ad alta velocità a una velocità di fuoco limitata.
gui/hud/building_description/tower_drone_attack;Genera droni difensivi che volteggiano nel raggio d'azione della torre e attaccano tutti i nemici che si trovano nel raggio d'azione.
gui/hud/building_description/tower_flamer;Spruzza fluido bruciante. Raggio breve ma molto efficace contro numerosi piccoli nemici. Richiede una Tower Ammunition Factory per funzionare.
gui/hud/building_description/tower_heavy_artillery;Spara proiettili esplosivi mini nuke a distanze molto lunghe. Può proteggere la base dai nemici che sparano da una lunga distanza. Usalo con i radar per sparare oltre il suo raggio visivo.
gui/hud/building_description/tower_laser;Spara un raggio di energia costante a un bersaglio. Il raggio diventa più potente mentre colpisce costantemente il bersaglio, quindi è meglio usarlo contro unità grandi e pesantemente corazzate.
gui/hud/building_description/tower_lightning;L'elettromagnete armato incorporato in questa torre crea un'enorme disparità tra sé stesso e tutta la materia organica circostante. Grazie a ciò, può creare un arco elettrico potente ma controllabile che può colpire più aggressori.
gui/hud/building_description/tower_mine_layer;Genera mine nell'area operativa che col tempo creano un campo minato attraverso il quale i nemici hanno difficoltà ad attraversarlo.
gui/hud/building_description/tower_minigun;Versione minigun della torre base. La cadenza di fuoco molto elevata la rende efficace contro un'ampia gamma di nemici.
gui/hud/building_description/tower_plasma;Spara proiettili energetici ad alta potenza con una discreta cadenza di fuoco. È abbastanza universale e può difendere la tua base da creature resistenti ai danni fisici. Utilizza energia per sparare, quindi può essere una buona diversificazione se la produzione di munizioni della tua torre fa fatica a tenere il passo.
gui/hud/building_description/tower_railgun;Spara un raggio di energia davvero potente e penetrante. Cadenza di fuoco molto bassa. Ogni colpo consuma una porzione significativa di energia dalla riserva energetica principale.
gui/hud/building_description/tower_rockets;Spara razzi esplosivi ai nemici. Ideale contro gruppi di nemici o creature vulnerabili ai danni ad area.
gui/hud/building_description/tower_shockwave;Emette onde potenti che congelano e danneggiano i nemici in un raggio. Ottimo per rallentare le orde nemiche e contro i danni criogenici.
gui/hud/building_description/upgrade_tool;Questo strumento consente al signor Riggs di entrare in modalità di potenziamento degli edifici. Mentre è attivo, il signor Riggs applicherà il livello di potenziamento successivo disponibile agli edifici selezionati.
gui/hud/building_description/uranium_centrifuge;Raffina il minerale di uranio. Produce uranio da utilizzare nelle centrali elettriche e nell'artigianato.
gui/hud/building_description/wall_energy;Una forma avanzata di muro. Invece di affidarsi a una struttura solida, questa versione utilizza raggi laser ad alta potenza per formare una barriera. Entrare in contatto con questa struttura può essere dannoso.
gui/hud/building_description/wall_gate;Si apre automaticamente quando il Mecha-Suit è nelle vicinanze. Non richiede energia per funzionare.
gui/hud/building_description/wall_small;Fornisce una protezione di base per la base. Può essere costruito in più strati. Economico, affidabile e robusto.
gui/hud/building_description/wall_small_floor;Fornisce una posizione di difesa più elevata per il Mecha-Suit, consentendogli di sparare sopra i muri e di difendere la base dall'interno dei muri.
gui/hud/building_description/water_filtering_plant;Purifica fluidi contaminati come il fango e produce acqua pulita. Richiede energia per funzionare.
gui/hud/building_description/weather_controller;Prevede condizioni meteorologiche estreme e consente di controllarle in una certa misura.
gui/hud/building_description/wind_turbine;Fornisce una quantità limitata di energia a seconda della forza del vento.
gui/hud/building_info/drones;Droni:
gui/hud/building_info/global_resources;Risorse solide:
gui/hud/building_info/input;Ingresso:
gui/hud/building_info/label_or;O:
gui/hud/building_info/local_resources;Risorse liquide:
gui/hud/building_info/output;Produzione:
gui/hud/building_name/ai_hub;Centro di intelligenza artificiale
gui/hud/building_name/alien_building_with_pipe_entrance_morphium;Edificio alieno
gui/hud/building_name/ammunition_storage;Deposito di munizioni
gui/hud/building_name/animal_biomass_powerplant;Centrale elettrica a biomassa animale
gui/hud/building_name/armory;Armeria
gui/hud/building_name/base_lamp;Lampada base
gui/hud/building_name/bio_composter;Compostaggio biologico
gui/hud/building_name/carbonium_factory;Fabbrica di Carbonio
gui/hud/building_name/carbonium_powerplant;Centrale elettrica al carbonio
gui/hud/building_name/carbonium_synthesizer;Sintetizzatore di carbonio
gui/hud/building_name/communications_hub;HUB di comunicazione
gui/hud/building_name/crash_site_core;Luogo di schianto alieno
gui/hud/building_name/cryo_station;Stazione criogenica
gui/hud/building_name/crystal_collector;Collezionista di cristalli
gui/hud/building_name/energy_connector;Connettore energetico
gui/hud/building_name/energy_storage;Accumulo di energia
gui/hud/building_name/eraser_tool;Gomma per pavimenti
gui/hud/building_name/floor_acid;Pavimento anticorrosivo
gui/hud/building_name/floor_concrete;Pavimento in cemento
gui/hud/building_name/floor_default;Piano Standard
gui/hud/building_name/floor_desert;Pavimento extra stabile
gui/hud/building_name/floor_magma;Pavimento resistente al calore
gui/hud/building_name/floor_steam;Logo del vapore sul pavimento
gui/hud/building_name/flora_collector;Stazione di raccolta
gui/hud/building_name/flora_cultivator;Coltivatore
gui/hud/building_name/fusion_field_accelerator;Acceleratore di campo di fusione
gui/hud/building_name/fusion_powerplant;Centrale elettrica a fusione
gui/hud/building_name/gas_filtering_plant;Impianto di filtraggio del gas
gui/hud/building_name/gas_powerplant;Centrale elettrica a gas
gui/hud/building_name/geothermal_powerplant;Centrale geotermica
gui/hud/building_name/headquarters;Sede centrale
gui/hud/building_name/hitech_structure;Struttura aliena
gui/hud/building_name/hyper_particle_condenser;Condensatore di iperparticelle
gui/hud/building_name/ionizer;Ionizzatore
gui/hud/building_name/ironium_synthesizer;Sintetizzatore Ironio
gui/hud/building_name/laboratory;Laboratorio
gui/hud/building_name/liquid_compressor;Compressore liquido
gui/hud/building_name/liquid_decompressor;Decompressore liquido
gui/hud/building_name/liquid_material_storage;Stoccaggio di materiale liquido
gui/hud/building_name/liquid_pump;Pompa per liquidi
gui/hud/building_name/magma_powerplant;Centrale elettrica Magma
gui/hud/building_name/mast;Bandiera decorativa
