;ITALIAN
DIALOG/objective/mech_boss_start_02;Ashley, i miei sensori hanno rilevato una creatura di classe Omega nelle vicinanze.
DIALOG/objective/mech_boss_start_03;Attenzione, una creatura di classe Omega è stata rilevata vicino alla nostra posizione.
DIALOG/objective/mech_boss_start_04;Creatura di classe Omega rilevata nelle vicinanze.
DIALOG/objective/ashley_boss_start_02;Ricevuto, Mr. Riggs. Le Omega possono essere molto pericolose, dobbiamo fare attenzione.
DIALOG/objective/ashley_boss_start_03;Interessante. Dovremmo andare sul posto per saperne di più.
DIALOG/objective/ashley_boss_start_04;Potrebbe rappresentare una seria minaccia per noi. Andiamo a vedere di cosa si tratta.
DIALOG/objective/mech_boss_encounter_02;Questa è la creatura di classe Omega rilevata in precedenza. È necessaria la massima cautela.
DIALOG/objective/mech_boss_encounter_03;Abbiamo conferma visiva di una creatura di classe Omega, Ashley.
DIALOG/objective/mech_boss_encounter_04;Creatura di classe Omega localizzata. Fai attenzione, Ashley.
DIALOG/objective/ashley_boss_encounter_02;Non possiamo lasciarla girare liberamente in quest’area. Le creature più piccole si raduneranno attorno a lei e potrebbero sopraffarci. Dobbiamo eliminarla.
DIALOG/objective/ashley_boss_encounter_03;È un grosso esemplare. Dobbiamo ucciderlo prima che raduni un’orda più grande.
DIALOG/objective/ashley_boss_encounter_04;Scudi alzati, Mr. Riggs. Sembra che stia per attaccare.
DIALOG/objective/mech_boss_end_02;Creatura di classe Omega eliminata. Obiettivo completato.
DIALOG/objective/mech_boss_end_03;Obiettivo completato, Ashley. La creatura di classe Omega è stata neutralizzata.
DIALOG/objective/mech_boss_end_04;Ottimo lavoro, Ashley. Minaccia eliminata.
DIALOG/objective/ashley_boss_end_02;Era più dura del previsto. Speriamo che non ne crescano di più grandi.
DIALOG/objective/ashley_boss_end_03;Sono sicuro che non era l’ultima. Mi aspetto che ne incontreremo di ancora più forti.
DIALOG/objective/ashley_boss_end_04;Bene. Temevo che potesse radunare un’orda enorme in questa zona.
DIALOG/objective/mech_shegret_first_encounter_start_01;Ashley, rilevo movimenti sotterranei. È molto insolito.
DIALOG/objective/ashley_shegret_first_encounter_start_01;Cosa? Cosa sta succedendo? Dove stanno andando quei movimenti?
DIALOG/objective/mech_shegret_first_encounter_start_02;Attenzione! Creature ostili stanno apparendo all’interno della nostra base. Rilevato un notevole drenaggio di energia.
DIALOG/objective/ashley_shegret_first_encounter_start_02;Stanno assorbendo energia direttamente dalla rete elettrica. Dobbiamo ucciderle tutte prima che sia troppo tardi.
DIALOG/objective/mech_shegret_first_encounter_end_01;Minaccia eliminata. Non rilevo più movimenti sospetti sopra o sotto terra. Quell’attacco era qualcosa di nuovo. Tu cosa ne pensi, Ashley?
DIALOG/objective/ashley_shegret_first_encounter_end_01;Le nostre emissioni energetiche hanno chiaramente attirato queste creature. Hanno ignorato le difese e sono andate dritte alla rete elettrica come impazzite. Penso che abbiano anche evitato la luce della base. È stato un incontro davvero strano.
DIALOG/objective/mech_shegret_first_encounter_end_02;Questa specie può rappresentare una minaccia significativa per la nostra presenza su Galatea 37?
DIALOG/objective/ashley_shegret_first_encounter_end_02;Se gli attacchi diventassero più frequenti, potrebbero causare problemi, ma non credo siano una minaccia significativa da sole.
DIALOG/objective/mech_shegret_first_encounter_end_03;Come vorresti chiamare questa specie?
DIALOG/objective/ashley_shegret_first_encounter_end_03;Chiamiamoli Shegrets. Mi ricordano i vermi elettrici che ho visto su Orion.
DIALOG/objective/mech_shegret_first_encounter_end_04;Ha! Un nome davvero azzeccato.
DIALOG/objective/mech_shegret_attack_start_01;Attenzione. I miei scanner rilevano movimenti nel sottosuolo.
DIALOG/objective/mech_shegret_attack_start_02;Rilevo attività anomala sotto terra. Ashley, qualcosa si sta muovendo verso la nostra base.
DIALOG/objective/mech_shegret_attack_start_03;Ashley, rilevo più oggetti in movimento sotto terra. Si stanno dirigendo direttamente verso la nostra base.
DIALOG/objective/ashley_shegret_attack_start_01;Shegret! Dobbiamo ucciderli prima che prosciughino le nostre riserve energetiche.
DIALOG/objective/ashley_shegret_attack_start_02;È un attacco Shegret! Dobbiamo stanarli all’interno della nostra base.
DIALOG/objective/ashley_shegret_attack_start_03;È uno sciame di Shegret! Dobbiamo proteggere la rete elettrica o assorbiranno tutta la nostra energia!
DIALOG/objective/mech_shegret_attack_end_01;Minaccia eliminata. Non rilevo movimenti sospetti sopra o sotto terra.
DIALOG/objective/mech_shegret_attack_end_02;Sciame di Shegret eliminato. Non rilevo più movimenti nel sottosuolo.
DIALOG/objective/mech_shegret_attack_end_03;Abbiamo eliminato tutti gli Shegret dal perimetro della base.
DIALOG/objective/ashley_shegret_attack_end_01;Bene. Controlliamo se la fornitura di energia è ancora integra.
DIALOG/objective/ashley_shegret_attack_end_02;Ricevuto, Mr. Riggs. Speriamo che non ci colgano troppo spesso di sorpresa.
DIALOG/objective/ashley_shegret_attack_end_03;Ok. Piazziamo qualche lampada in più dove ci hanno attaccato. Penso che abbiano paura delle fonti luminose forti.
gui/hud/objective_name/generic/kermon_attack;Attenzione! Unità nemiche occultate in avvicinamento al perimetro della base!
gui/hud/objective_name/generic/phirian_attack;Attenzione! Sciame Phirian in avvicinamento al perimetro della base!
DIALOG/objective/mech_kermon_attack_start_01;Pericolo! I miei sensori rilevano unità occultate che si avvicinano alla base. Possono attaccare da qualsiasi direzione.
DIALOG/objective/mech_kermon_attack_start_02;Pericolo! Unità occultate si stanno avvicinando al perimetro della base. Non saranno visibili sul radar finché non attaccano.
DIALOG/objective/ashley_kermon_attack_end_01;Abbiamo sconfitto lo sciame di Kermon. Dobbiamo assicurarci di avere difese attorno a tutta la base, non possiamo sapere da dove attaccheranno la prossima volta.
DIALOG/objective/ashley_kermon_attack_end_02;Abbiamo sconfitto quei Kermon, ma dobbiamo rimanere vigili. Possono essere estremamente pericolosi.
DIALOG/objective/mech_kermon_attack_end_01;Abbiamo difeso la base dall'attacco dei Kermon. Si consiglia di verificare l'integrità della base.
DIALOG/objective/mech_kermon_attack_end_02;Attacco Kermon sconfitto. Ricorda che i prossimi attacchi potrebbero essere più forti: rinforziamo le difese di conseguenza.
DIALOG/objective/mech_creeper_start_01;Attenzione! Una pericolosa colonia di lievito acido è stata rilevata nelle vicinanze. Il suo vettore di crescita è minaccioso.
DIALOG/objective/mech_creeper_start_02;Ashley, ho rilevato una colonia di lievito acido in espansione. Si sta diffondendo verso la base.
DIALOG/objective/ashley_creeper_start_01;Brutte notizie. Dobbiamo trovare e distruggere la radice della colonia per fermarne la crescita.
DIALOG/objective/ashley_creeper_start_02;Dobbiamo trovare e distruggere la radice della colonia prima che raggiunga la nostra base. Più aspettiamo, più difficile sarà eliminarla.
DIALOG/objective/mech_creeper_encounter_01;La radice della colonia è vicina. Ashley, concentrati nel distruggere la cellula centrale, il resto morirà.
DIALOG/objective/mech_creeper_encounter_02;Radice della colonia di lievito acido rilevata. Distruggi la cellula centrale per fermare la crescita.
DIALOG/objective/ashley_creeper_encounter_01;Vedo la radice della colonia. Dobbiamo distruggerla per fermarne la crescita.
DIALOG/objective/ashley_creeper_encounter_02;Abbiamo trovato la radice della colonia. Concentra tutto il fuoco sulla cellula di lievito più grande che vedi.
DIALOG/objective/mech_creeper_end_01;Obiettivo completato. La radice della colonia è stata distrutta. La crescita del lievito acido si è arrestata.
DIALOG/objective/mech_creeper_end_02;Ashley, confermo che la radice della colonia di lievito acido è morta. Le cellule rimanenti dovrebbero morire da sole.
DIALOG/objective/ashley_creeper_end_01;Eccoci. Abbiamo distrutto la radice della colonia. Il resto dovrebbe morire da solo.
DIALOG/objective/ashley_creeper_end_02;Abbiamo eliminato la radice, Mr. Riggs. Il resto della colonia dovrebbe estinguersi da solo. Possiamo tornare agli obiettivi principali.
gui/hud/objective_name/story/rift_station_remain;Rimani su Galatea 37 (Facoltativo)
DIALOG/story/headquarters/ashley_rift_station_open_05;No, non dobbiamo tornare attraverso il portale. Penso che ci sia un modo diverso.
DIALOG/story/headquarters/ashley_ending_stay_09;È da un bel po' che penso alla possibilità di estendere la nostra missione su Galatea, ma ero titubante sul fatto che saremmo stati in grado di farcela. Sono certa che restare qui sia la scelta giusta, quella che porterà il maggior beneficio sia all’Umanità che a Galatea, e allo stesso tempo so che è la strada più lunga e più difficile.
DIALOG/story/headquarters/mech_ending_stay_09;Quel che è fatto è fatto, Ashley. Hai preso la tua decisione. Hai un piano per andare oltre questo punto?
DIALOG/story/headquarters/ashley_ending_stay_10;Sì, ma dovremo andare oltre i compiti originariamente previsti per la nostra missione e utilizzare tecnologie che non erano state progettate per questa tuta meccanica. Ho bisogno che tu acceda al repository dei modelli di progetti di Nano‑Fabbricazione Comune e decomprimi gli schemi specifici delle Megastrutture.
DIALOG/story/headquarters/mech_ending_stay_10;Posso accedere a quei progetti, ma non posso usarli. Sono stati progettati per macchine di fabbricazione su scala cittadina molto più grandi. I requisiti di output di risorse per costruire Megastrutture superano le soglie operative dei miei sistemi di assemblaggio.
DIALOG/story/headquarters/ashley_ending_stay_11;È vero, ma possiamo modificare gli schemi e costruirli pezzo per pezzo.
DIALOG/story/headquarters/mech_ending_stay_11;È possibile, ma richiede molto tempo. Dovremmo aumentare la nostra potenza di calcolo per preparare queste megastrutture in tempi ragionevoli. Potrei costruire una base semi‑funzionante per un Laboratorio Cortex Quantico. È l’unica Megastruttura sulla quale posso iniziare a lavorare senza modifiche aggiuntive.
DIALOG/story/headquarters/ashley_ending_stay_12;Faceva parte del mio piano, Mr. Riggs. Lasciare collassare il portale della Stazione di Fenditura può sembrare una decisione dell’ultimo minuto, ma maturava dentro di me da molto tempo. Comunque, proviamo prima a costruire questa cosa. Ti spiegherò il resto quando ci arriveremo.
DIALOG/story/headquarters/mech_ending_stay_12;Ho aggiunto la base del Laboratorio Cortex Quantico all’elenco degli schemi disponibili. Controlla per favore i requisiti di costruzione e manutenzione, poi scegli con attenzione dove vuoi costruirlo. Ricorda che non deve per forza sorgere al nostro QG. Alcuni biomi potrebbero essere più adatti a ospitare questo progetto.
DIALOG/story/headquarters/ashley_ending_stay_13;Questa Megastruttura è di tutt’altra categoria. I requisiti di energia e di plasma sovraccaricato sono molto più alti di qualsiasi cosa abbiamo mai costruito. Forse dovremmo cercare una nuova posizione della base per costruire questo mostro. La Stazione di Fenditura era un gioco da ragazzi in confronto.
DIALOG/story/headquarters/mech_ending_stay_13;Beh, hai ciò che hai chiesto, Ashley.
DIALOG/story/endgame/mech_qcl_start_01;Dispiegamento della base per il Laboratorio Cortex Quantico in corso. 
DIALOG/story/endgame/ashley_qcl_start_01;Eccellente, una volta online potremo iniziare a riadattare ulteriori schemi per Megastrutture più grandi. Dobbiamo suddividere i loro progetti in parti più piccole che possiamo costruire pezzo per pezzo. 
DIALOG/story/endgame/mech_qcl_start_02;Ashley, ricorda che questa è solo la base e il databank di elaborazione centrale di questa struttura. Questo impianto ci permetterà di archiviare ed elaborare dataset enormi anche quando non sarà sufficientemente alimentato. Tuttavia, se vogliamo sfruttarne le capacità di calcolo dovremo fornire enormi quantità di plasma sovraccaricato ed energia per mantenere operativo il Cortex Quantico. Inoltre, se vogliamo sbloccare il pieno potenziale di questa struttura, dovremo ricercare gli schemi di costruzione dei moduli rimanenti in una forma compatibile con i miei sistemi di assemblaggio.
DIALOG/story/endgame/ashley_qcl_start_02;Ricevuto. Ho già contrassegnato specifiche Megastrutture da riadattare. Quando saremo pronti, potremo iniziare a reintegrare i piani per il Centro di Produzione dello Sciame Nanobot, la Lente Ipergravitazionale e il Laboratorio di Sostenibilità Idroponica. Dopo il completamento di queste tre Megastrutture, potremo passare alla più complessa: l’Officina di Arcologia.
DIALOG/story/endgame/mech_qcl_start_03;Come intendi usare queste tecnologie, Ashley?
DIALOG/story/endgame/ashley_qcl_start_03;Le missioni di colonizzazione guidate dai Riftbreaker seguono di solito un flusso standard. Fase uno: stabilire una base operativa avanzata con una Stazione di Fenditura quantisticamente intrecciata collegata alla Terra. Fase due: le forze di spedizione terrestri rinforzano la base avanzata con forza schiacciante e costruiscono rapidamente l’economia in loco estraendo a strascico la superficie del pianeta e usando le sue risorse senza limiti. Fase tre: enormi complessi industriali divorano il paesaggio locale, spostando o distruggendo in modo permanente l’ecosistema in nome dell’efficienza e del controllo. Fase quattro: una volta che il pianeta è completamente sottomesso e ristrutturato, arrivano i coloni civili ad insediarsi su ciò che resta, spesso ignari di ciò che è stato cancellato per far loro spazio. Voglio interrompere la Fase 2 e la Fase 3 di questo processo.
DIALOG/story/endgame/mech_qcl_start_04;La Fase 2 e la Fase 3 sono necessarie per creare condizioni di vita sicure per i futuri coloni. Il protocollo di colonizzazione indica che il loro impatto sull’ecosistema locale dovrebbe essere minimo.
DIALOG/story/endgame/ashley_qcl_start_04;All’inizio funzionava così, ma le cose sono cambiate, Mr. Riggs. Pensa a cosa è successo su Solune 6, Vaelora 12 o anche su Ephorion 9b. La storia recente mostra che la Fase Due e la Fase Tre diventano un pretesto per uno sfruttamento industriale sfrenato. Il collasso della Fenditura ci ha comprato tempo extra da usare per preparare il pianeta a una coabitazione guidata dalla tecnologia. Queste Megastrutture ci permetteranno di affermare che Galatea 37 è pronta per la Fase Quattro del processo di colonizzazione.
DIALOG/story/endgame/mech_qcl_start_05;Mi dispiace, Ashley, ma ancora non capisco lo scopo specifico che hai in mente per questi edifici.
DIALOG/story/endgame/ashley_qcl_start_05;In breve: il Centro di Produzione e Controllo dello Sciame Nanobot ci darà la capacità di costruire strutture enormi senza introdurre macchine di fabbricazione su scala cittadina. La Lente Ipergravitazionale ci permetterà di portare oggetti grandi come le arcologie in orbita senza costruire spaceport. Il Laboratorio di Sostenibilità Idroponica ci consentirà di studiare e produrre cibo per i coloni in modo sostenibile. Dovrebbe anche aumentare l’efficienza dei nostri coltivatori, così da estrarre le risorse necessarie dal pianeta in modo più “amico”. L’Officina di Arcologia ci permetterà di costruire colonie temporanee autosufficienti per le persone che arrivano su Galatea 37. Questo darà loro il tempo di adattarsi alle condizioni locali in un ambiente sicuro.
DIALOG/story/endgame/mech_qcl_start_06;Un’arcologia è una città semi autosufficiente. Se la costruiamo direttamente in orbita sopra il pianeta, sarà al riparo dalla fauna locale. L’infrastruttura che avremo costruito a terra sarà sufficiente a sostenerla. Credo di aver capito quella parte, ma perché la gente dovrebbe vivere in una città nello spazio se l’obiettivo è colonizzare il pianeta?
DIALOG/story/endgame/ashley_qcl_start_06;Le arcologie rimarranno in orbita finché i coloni non troveranno condizioni ottimali per un insediamento a terra. In seguito, dovranno atterrare ed espandere lentamente i loro habitat sul pianeta. È un vecchio concetto teorico di colonizzazione proposto per la prima volta dagli astrobiologi Vyremsky e Bomack alla fine del ventunesimo secolo. Non ho inventato tutto questo. Sulla Terra ci sono molte persone intelligenti che sapranno come prendersi cura di questo pianeta. Voglio poter passare direttamente a loro le redini.
DIALOG/story/endgame/mech_qcl_start_07;Ok, inizia ad avere senso. Salverò il resto delle domande per dopo.
DIALOG/story/endgame/ashley_qcl_start_07;Grazie, Mr. Riggs. Ora torniamo al lavoro.
DIALOG/story/endgame/mech_qcl_complete_01;Costruzione del Laboratorio Cortex Quantico completata. Integrità della struttura primaria confermata. Il databank di elaborazione centrale funziona a parametri ottimali.
DIALOG/story/endgame/ashley_qcl_complete_01;Perfetto. Grazie alla maggiore capacità di memoria di lavoro, possiamo finalmente iniziare a riformattare gli schemi delle Megastrutture. I progetti del Centro di Controllo dello Sciame Nanobot, della Lente Ipergravitazionale e del Laboratorio di Sostenibilità Idroponica sono disponibili per l’adattamento.
DIALOG/story/endgame/mech_qcl_complete_02;Teoricamente potremmo rielaborare questi schemi anche senza alimentare il Cortex Quantico. Tuttavia, questo edificio da solo è più potente di tutta la nostra infrastruttura di ricerca esistente messa insieme. Consiglio di fornire il plasma sovraccaricato e l’energia richiesti per portare la struttura alla piena capacità operativa.
DIALOG/story/endgame/ashley_qcl_complete_02;Possiamo rendere il Laboratorio Cortex Quantico ancora più efficiente aggiornandolo con tutti i componenti rimanenti. Così potremmo ricercare le restanti Megastrutture molto più velocemente. 
DIALOG/story/endgame/mech_qcl_complete_03;Giusto punto, Ashley. Controlla per favore i requisiti di risorse per ogni Megastruttura. Consumano tipi di risorse diversi. Potrebbe essere efficiente costruirle fuori ordine man mano che le risorse richieste diventano disponibili.
DIALOG/story/endgame/ashley_qcl_upgrade_01_start_01;Il Coriolis Plasma Nullifier per il Laboratorio Cortex Quantico ci aiuterà a ridurre la deriva rotazionale negli array di plasma. Migliorerà la stabilità operativa del laboratorio alle frequenze più alte.
DIALOG/story/endgame/mech_qcl_upgrade_01_start_01;Affermativo. Assemblaggio del Nullifier in corso. Questo componente sopprimerà le distorsioni laterali nel flusso di plasma sovraccaricato, migliorando così la velocità di elaborazione complessiva.
DIALOG/story/endgame/mech_qcl_upgrade_01_complete_01;Aggiornamento completato: Coriolis Plasma Nullifier installato nel Laboratorio Cortex Quantico. Il flusso di plasma si è stabilizzato. Le fluttuazioni laterali sono scese a livelli trascurabili.
DIALOG/story/endgame/ashley_qcl_upgrade_01_complete_01;Eccellente. Questo upgrade ha migliorato sensibilmente la nostra velocità di ricerca complessiva. Possiamo migliorarla ulteriormente costruendo altri componenti del QCL.
DIALOG/story/endgame/ashley_qcl_upgrade_02_start_01;Sto installando la Centrifuga a Ipercondensato Stabilizzato per il QCL. Il laboratorio ha bisogno di un ambiente condensato stabile per la conservazione ad alta fedeltà dei dati durante cicli prolungati.
DIALOG/story/endgame/mech_qcl_upgrade_02_start_01;Inizio assemblaggio della centrifuga. Una volta stabilizzata, questo modulo ridurrà la decoerenza quantistica e migliorerà la consistenza computazionale del reticolo neurale durante le operazioni prolungate.
DIALOG/story/endgame/mech_qcl_upgrade_02_complete_01;Aggiornamento del Laboratorio Cortex Quantico completato. Centrifuga a Ipercondensato Stabilizzato online. I sistemi core mostrano ora un aumento del 63% dell’integrità dei dati sotto carichi di elaborazione elevati.
DIALOG/story/endgame/ashley_qcl_upgrade_02_complete_01;Eccellente. Le simulazioni di lungo periodo saranno molto più affidabili. Siamo un passo più vicini alla piena capacità operativa del QCL.
DIALOG/story/endgame/ashley_qcl_upgrade_03_start_01;Avvio l’installazione dell’Acceleratore Ionico a Plasma Sovraccaricato per il QCL. Per sfruttare appieno il Cortex Quantico, dobbiamo migliorarne l’efficienza di trattamento del plasma.
DIALOG/story/endgame/mech_qcl_upgrade_03_start_01;Ricevuto. Questo modulo migliorerà significativamente l’efficienza di erogazione dell’energia su tutti i canali di calcolo neurale. I protocolli di regolazione del plasma sono ora attivi.
DIALOG/story/endgame/mech_qcl_upgrade_03_complete_01;Aggiornamento del Laboratorio Cortex Quantico finito. Installazione dell’Acceleratore Ionico a Plasma Sovraccaricato completata. L’efficienza di trattamento del plasma del Cortex Quantico è aumentata del 67,4%. La capacità di elaborazione è stata ricalibrata di conseguenza.
DIALOG/story/endgame/ashley_qcl_upgrade_03_complete_01;Eccellente, abbiamo quasi terminato gli upgrade del QCL. Ne manca solo uno.
DIALOG/story/endgame/ashley_qcl_upgrade_04_start_01;Avvio la costruzione dei Riciclatori di Materia Bruna di Kotiuk. Il Cortex Quantico sta già generando enormi quantità di scarti di plasma raffreddato. Ci serve un modo per processare efficientemente quella materia bruna e recuperare l’energia residua.
DIALOG/story/endgame/mech_qcl_upgrade_04_start_01;Ricevuto. Inizializzo il dispiegamento dei contenitori. Questi sistemi isoleranno e neutralizzeranno i residui di plasma, accelereranno la gestione degli scarti e ricicleranno l’energia termica residua nel circuito di alimentazione del Cortex Quantico.
DIALOG/story/endgame/mech_qcl_upgrade_04_complete_01;Aggiornamento del Laboratorio Cortex Quantico completato. I Riciclatori di Materia Bruna di Kotiuk sono pienamente operativi. Il flusso di materia bruna è stabilizzato. I sistemi di recupero energetico operano alla massima efficienza. Tutti i sottosistemi core riportano piena sincronizzazione. Il Laboratorio Cortex Quantico ha raggiunto il 100% della capacità operativa.
DIALOG/story/endgame/ashley_qcl_upgrade_04_complete_01;Eccellente. Con l’intero sistema al massimo, ora possiamo elaborare, adattare e distribuire gli schemi delle Megastrutture senza ritardi. È stata un’impresa enorme: non c’è da stupirsi che queste Megastrutture non siano pensate per essere costruite dai Riftbreaker.
DIALOG/story/endgame/mech_qcl_upgrade_04_complete_02;Il tuo comportamento non rientra nello stereotipo tipico dei Riftbreaker, Ashley.
DIALOG/story/endgame/ashley_ghl_start_01;Avvio il dispiegamento della base della Lente Ipergravitazionale. Una volta operativa, ci permetterà di spostare in orbita strutture massicce, come officine di costruzione in gravità zero o arcologie, senza ricorrere a sistemi di lancio convenzionali e spaceport. Sfortunatamente, non può aiutarci a spostare oggetti più piccoli come gli edifici della base.
DIALOG/story/endgame/mech_ghl_start_01;È una struttura altamente specializzata. È composta da quattro Generatori di Raggi Gravitone Fase‑coerenti simmetrici e da un’antenna di lente centrale. È difficile da mantenere a causa del calore intenso generato da questi componenti. Le sue temperature operative sono troppo elevate per i meccanismi di raffreddamento tipici.
DIALOG/story/endgame/ashley_ghl_start_02;Dovremo predisporre una rete di Raffinerie di Super Refrigerante per mantenere in funzione questa macchina. Potrà essere impegnativo costruirla e mantenerla, ma è un elemento chiave del nostro piano. 
DIALOG/story/endgame/mech_ghl_start_02;È una macchina meravigliosa, Ashley, ma non sarebbe più semplice costruire gli insediamenti a terra fin dall’inizio?
DIALOG/story/endgame/ashley_ghl_start_03;È esattamente così che si svolgerebbero la Fase Due e la Fase Tre del processo standard di colonizzazione. Le spedizioni militari si aprirebbero la strada dalla Stazione di Fenditura verso le aree più ricche di risorse. Distruggerebbero tutto lungo il percorso e ucciderebbero tutta la fauna locale percepita come minaccia. Le colonie aeree possono essere facilmente spostate in luoghi più remoti e sicuri. Grazie ai nostri sforzi, i ricercatori che arriveranno qui potranno individuare aree più sicure prima di far atterrare le loro arcologie.
DIALOG/story/endgame/mech_ghl_start_03;Non abbiamo incontrato una sola posizione priva di fauna ostile. 
DIALOG/story/endgame/ashley_ghl_start_04;È vero, ma non abbiamo nemmeno provato a evitarla. Siamo saltati in un punto casuale del pianeta e ci siamo aggrappati alla sopravvivenza. So che il conflitto è inevitabile, ma possiamo ridurlo al minimo.
DIALOG/story/endgame/mech_ghl_complete_01;Costruzione della Lente Ipergravitazionale completata. L’antenna di lensing primaria è pronta per l’operazione. I protocolli di manipolazione di massa a lungo raggio sono pronti per i test.
DIALOG/story/endgame/ashley_ghl_complete_01;Questa struttura non ci offre molti vantaggi nella costruzione su piccola scala. Tuttavia, l’antenna di lensing gravitazionale può essere abbinata allo Scanner Orbitale per aiutarci durante le missioni di esplorazione. Aumenterà la precisione delle nostre letture della forza gravitazionale, consentendoci di rilevare vari punti di interesse all’interno di una data località planetaria.
DIALOG/story/endgame/mech_ghl_complete_02;Corretto, Ashley. Tuttavia, ricorda che questo edificio deve essere alimentato per fornire tale vantaggio. Richiede una quantità considerevole di Super Refrigerante ed Energia per funzionare.
DIALOG/story/endgame/ashley_ghl_complete_02;Questo è solo il primo passo. Sono necessari quattro Generatori di Raggi Gravitone Fase‑coerenti aggiuntivi per poter spostare un’Arcologia in orbita. Dobbiamo completare tutti i suoi componenti per renderla pienamente operativa. 
DIALOG/story/endgame/mech_ghl_generator1_01;Inizio costruzione del primo Generatore di Raggio Gravitone Fase‑coerente. Questa unità fungerà da ancoraggio di base per l’intero array. La loro calibrazione deve essere molto precisa.
DIALOG/story/endgame/ashley_ghl_generator1_01;Ricevuto. Una volta online questo generatore, possiamo iniziare a costruire il successivo. Devono essere realizzati in ordine sequenziale.
DIALOG/story/endgame/mech_ghl_generator1_02;Generatore di Raggio Gravitone Fase‑coerente Uno per la Lente Ipergravitazionale operativo. Stabilità dell’output confermata. In attesa di sincronizzazione con unità aggiuntive.
DIALOG/story/endgame/ashley_ghl_generator1_02;Eccellente. Questo generatore ci permetterà di rilevare più punti di interesse durante la ricognizione di nuove aree. Prepariamoci a costruire il prossimo generatore.
DIALOG/story/endgame/mech_ghl_generator2_01;Avvio dispiegamento del secondo Generatore di Raggio Gravitone. Calibrazione del differenziale di fase in corso.
DIALOG/story/endgame/ashley_ghl_generator2_01;Copiato. Con questa unità online, possiamo iniziare a testare il controllo direzionale sull’array di lensing.
DIALOG/story/endgame/mech_ghl_generator2_02;Generatore di Raggio Gravitone Fase‑coerente Due per la Lente Ipergravitazionale completato. Modulazione a doppio raggio sincronizzata. Avvio test di modulazione direzionale.
DIALOG/story/endgame/ashley_ghl_generator2_02;Questa unità ci permetterà di rilevare ancora più punti di interesse durante le missioni di esplorazione. Stiamo facendo buoni progressi. Ancora due e questa Megastruttura sarà pienamente operativa.
DIALOG/story/endgame/mech_ghl_generator3_01;Inizio costruzione del terzo Generatore di Raggio Gravitone Fase‑coerente. I sistemi di sincronizzazione del raggio si preparano all’integrazione.
DIALOG/story/endgame/ashley_ghl_generator3_01;Dovremo ricontrollare le modifiche apportate a tutti i connettori dei componenti. Dobbiamo essere estremamente cauti con questo edificio.
DIALOG/story/endgame/mech_ghl_generator3_02;Generatore di Raggio Gravitone Fase‑coerente Tre per la Lente Ipergravitazionale attivo. Stabilizzazione del campo triangolare riuscita. Migliora la calibrazione dell’antenna di lensing.
