;ITALIAN
gui/hud/building_description/wall_gate_energy;Una forma avanzata di cancello. Invece di affidarsi a una struttura solida, questa versione utilizza raggi laser ad alta potenza per formare una barriera. Entrare in contatto con questa struttura può essere dannoso.
gui/hud/building_description/wall_vine;Questi muri si ritirano automaticamente nel terreno quando il Mech è vicino a loro. Ciò consente all'utente di sparare sopra di essi con facilità e annulla la necessità di costruire cancelli. I muri rigenerano anche i punti ferita mancanti nel tempo, ma non si ricostruiscono da soli dalle rovine.
gui/hud/building_name/bio_condenser;Condensatore di biomassa
gui/hud/building_name/crystal_structure;Struttura cristallina
gui/hud/building_name/floor_grass;Pavimento in erba
gui/hud/building_name/floor_roots;Pavimento radicale
gui/hud/building_name/future_city;Struttura della città futura
gui/hud/building_name/gas_extractor;Estrattore di gas
gui/hud/building_name/hedge;Siepe
gui/hud/building_name/scifi_structure;Struttura fantascientifica
gui/hud/building_name/tower_hcm;Torre HCM
gui/hud/building_name/tower_power_rod;Torre di potenza
gui/hud/building_name/tower_shotgun;Torre del fucile
gui/hud/building_name/tower_water_basic;Torre Immolatrice Galleggiante
gui/hud/building_name/tower_water_big;Torre galleggiante Piercer
gui/hud/building_name/wall_gate_crystal;Porta di cristallo
gui/hud/building_name/wall_gate_energy;Porta dell'energia
gui/hud/building_name/wall_gate_vine;Porta della vite
gui/hud/building_name/wall_vine;Muro di vite
gui/hud/enemy_skill_description/aura_damage_acid;Placeholder ID - not visible in the game
gui/hud/enemy_skill_description/aura_damage_cryo;Placeholder ID - not visible in the game
gui/hud/enemy_skill_description/aura_damage_energy;Placeholder ID - not visible in the game
gui/hud/enemy_skill_description/aura_damage_fire;Placeholder ID - not visible in the game
gui/hud/enemy_skill_description/aura_heal;Placeholder ID - not visible in the game
gui/hud/enemy_skill_description/aura_heal_lvl_3;Placeholder ID - not visible in the game
gui/hud/enemy_skill_description/aura_resistance;Placeholder ID - not visible in the game
gui/hud/enemy_skill_description/drones;Placeholder ID - not visible in the game
gui/hud/enemy_skill_description/eggs;Placeholder ID - not visible in the game
gui/hud/enemy_skill_description/meteor_shower;Placeholder ID - not visible in the game
gui/hud/enemy_skill_description/resurrect;Placeholder ID - not visible in the game
gui/hud/enemy_skill_description/shockwave;Placeholder ID - not visible in the game
gui/hud/enemy_skill_description/swarm;Placeholder ID - not visible in the game
gui/hud/enemy_skill_description/underground_rock;Placeholder ID - not visible in the game
gui/hud/enemy_skill_description/waller;Placeholder ID - not visible in the game
gui/hud/enemy_skill_name/aura_damage_acid;Aura di danno - Acido
gui/hud/enemy_skill_name/aura_damage_cryo;Aura di danno - Crio
gui/hud/enemy_skill_name/aura_damage_energy;Aura di danno - Energia
gui/hud/enemy_skill_name/aura_damage_fire;Aura di danno - Fuoco
gui/hud/enemy_skill_name/aura_heal;Aura di guarigione
gui/hud/enemy_skill_name/aura_heal_lvl_3;Aura Curativa liv. 3
gui/hud/enemy_skill_name/aura_resistance;Aura di resistenza
gui/hud/enemy_skill_name/drones;Generatore di droni
gui/hud/enemy_skill_name/eggs;Spawner di uova
gui/hud/enemy_skill_name/meteor_shower;Generatore di meteore
gui/hud/enemy_skill_name/resurrect;Resuscitare l'aura
gui/hud/enemy_skill_name/shockwave;Onda d'urto
gui/hud/enemy_skill_name/swarm;Generatore di sciami
gui/hud/enemy_skill_name/underground_rock;Spawner di roccia
gui/hud/enemy_skill_name/waller;Generatore di muri
gui/hud/multiplayer_scoreboard/limits;Limite di punteggio: ${score_limit} / Limite di tempo: ${time_limit}
gui/hud/multiplayer_scoreboard/scoreboard;Tabellone segnapunti:
gui/hud/player_joined_server;"<style=""chat_user"">${user_name}</style> si è unito al server!"
gui/hud/player_killed;"<style=""chat_red"">${user_name}</style> è morto!"
gui/hud/player_killed_by_player;"<style=""chat_red"">${user_name}</style> ucciso da <style=""chat_red"">${killer}</style>!"
gui/hud/player_left_server;"<style=""chat_red"">${user_name}</style> ha lasciato il server!"
gui/hud/power_well_name/ammo;Munizioni infinite per i giocatori
gui/hud/power_well_name/building;Velocità e costi di costruzione
gui/hud/power_well_name/cooldowns;Tempi di recupero brevi degli oggetti
gui/hud/power_well_name/damage;Danni al Quad
gui/hud/power_well_name/drones;Sciame di droni
gui/hud/power_well_name/firerate;Velocità di fuoco veloce
gui/hud/power_well_name/forcefield;Super campo di forza
gui/hud/power_well_name/health;Mega Salute
gui/hud/power_well_name/loot;Probabilità di rilascio del bottino
gui/hud/power_well_name/radar;Dimensioni del radar
gui/hud/power_well_name/reflect_damage;Rifletti i danni
gui/hud/power_well_name/resist_acid;Resistere all'acido
gui/hud/power_well_name/resist_all;Resisti a tutto
gui/hud/power_well_name/resist_area;Area di resistenza
gui/hud/power_well_name/resist_cryo;Resisti alla crio
gui/hud/power_well_name/resist_energy;Resistere all'energia
gui/hud/power_well_name/resist_fire;Resistere al fuoco
gui/hud/power_well_name/resist_physical;Resisti al fisico
gui/hud/power_well_name/speed;Velocità di movimento
gui/hud/you_were_killed_by;Sei stato ucciso da ${killer}!
gui/menu/appearance/skins/poo_collector;${gui/menu/appearance/skins/unique_skin}
gui/menu/appearance/skins/toadstool;${gui/menu/appearance/skins/unique_skin}
gui/menu/appearance/skins/vines;${gui/menu/appearance/skins/unique_skin}
gui/menu/appearance/skins/wooden;${gui/menu/appearance/skins/unique_skin}
gui/menu/downloadable_package/dlc_3;DLC Cuore della Palude
gui/menu/equipment/description;Descrizione
gui/menu/inventory/compare;Confronta
gui/menu/inventory/consumable_description/drone_swarm;Ti consente di richiamare un assortimento di vari tipi di droni. Seguiranno e assisteranno il mech per un periodo di tempo limitato. I droni evocati non contano nel limite dei droni.
gui/menu/inventory/consumable_description/gas_grenade;La granata rilascia una nuvola di gas acido in un'area relativamente ampia, infliggendo danni a tutte le creature nelle vicinanze.
gui/menu/inventory/consumable_description/heal_dm;Recupera istantaneamente una parte dei punti ferita del Mech.
gui/menu/inventory/consumable_description/mortar_sentry;Torre di guardia automatizzata che spara proiettili di mortaio a grande distanza. La torre funziona solo per un breve periodo, ma non richiede munizioni o energia aggiuntive.
gui/menu/inventory/consumable_description/shield_boost_small_dm;Aggiunge più punti ferita allo scudo energetico del Mech.
gui/menu/inventory/consumable_name/drone_swarm;Sciame di droni
gui/menu/inventory/consumable_name/gas_grenade;Granata a gas
gui/menu/inventory/consumable_name/heal_dm;Kit di riparazione Deathmatch
gui/menu/inventory/consumable_name/mortar_sentry;Mortaio Sentry
gui/menu/inventory/consumable_name/shield_boost_small_dm;Potenziamento scudo Deathmatch
gui/menu/inventory/hide_compare;Nascondi confronto
gui/menu/inventory/interactive_name/poogret_food;Frutto di Garlimonio
gui/menu/inventory/interactive_name/sample;Campione
gui/menu/inventory/skill_name/tornado;Tornado
gui/menu/inventory/weapon_name/charged_bomb;Bomba carica
gui/menu/inventory/weapon_name/flame_blade;Lama di fiamma
gui/menu/inventory/weapon_name/insect_gun;Lanciatore di vespe
gui/menu/inventory/weapon_name/mortar;Mortaio
gui/menu/inventory/weapon_name/root_gun;Pistola per radici
gui/menu/inventory/weapon_name/semi_auto;Fucile a ripetizione
gui/menu/inventory/weapon_name/trident;Tridente
gui/menu/main_menu/halloween;Halloween
gui/menu/main_menu/whats_new;Cosa c'è di nuovo?
gui/menu/multiplayer/button/server_list;Elenco dei server
gui/menu/multiplayer/game;Gioco
gui/menu/multiplayer/info/no_selected_server;Nessun server è stato selezionato
gui/menu/multiplayer/next_map;Mappa successiva
gui/menu/multiplayer/options/dedicated_server;Server dedicato
gui/menu/multiplayer/options/frag_limit;Limite di frammentazione
gui/menu/multiplayer/options/game_mode;Modalità di gioco
gui/menu/multiplayer/options/game_name;Nome del gioco
gui/menu/multiplayer/options/max_bot_count;Numero massimo di bot
gui/menu/multiplayer/options/max_player_count;Numero massimo di giocatori
gui/menu/multiplayer/options/public_game;Gioco pubblico
gui/menu/multiplayer/options/public_server;Server pubblico
gui/menu/multiplayer/ping;Segnale acustico
gui/menu/multiplayer/players;Giocatori
gui/menu/multiplayer/query/server_fetch_error;Si è verificato un errore durante il recupero dell'elenco dei server
gui/menu/multiplayer/query/server_fetch_pending;Recupero dell'elenco dei server...
gui/menu/multiplayer/query/server_list_empty;Non ci sono server in esecuzione che corrispondono alla query
gui/menu/multiplayer/warmup;Riscaldamento
gui/menu/net/connection_banned;Sei stato bannato dal server!
gui/menu/net/connection_kicked;Sei stato espulso dal server!
gui/menu/net/connection_lost;Connessione al server persa!
gui/menu/net/server_full;Impossibile connettersi. Il server è pieno!
gui/menu/research/description/bio_condenser_lvl1;Il condensatore di biomassa utilizza tecniche avanzate di bioingegneria per convertire il fango ordinario in fanghi altamente potenti. Questi fanghi possono quindi essere raffinati in gas infiammabile, fornendo una preziosa risorsa energetica. L'integrazione di sistemi di nanofiltrazione garantisce la purezza e previene la contaminazione, rendendo il condensatore di biomassa una risorsa essenziale per la produzione di energia sostenibile in ambienti difficili.
gui/menu/research/description/bio_condenser_lvl2;Il condensatore di biomassa migliorato migliora significativamente l'efficienza e la produzione del progetto originale. Questa versione migliorata non solo converte il fango in fanghi più velocemente, ma aumenta anche la resa di gas infiammabile. Presenta ceppi microbici migliorati e processi catalitici migliorati, garantendo una produzione di energia superiore per operazioni sostenute.
gui/menu/research/description/bio_condenser_lvl3;Il condensatore di biomassa migliorato migliora significativamente l'efficienza e la produzione del progetto originale. Questa versione migliorata non solo converte il fango in fanghi più velocemente, ma aumenta anche la resa di gas infiammabile. Presenta ceppi microbici migliorati e processi catalitici migliorati, garantendo una produzione di energia superiore per operazioni sostenute.
gui/menu/research/description/consumable_drone_swarm_advanced;Questa versione aggiornata non solo aumenta l'efficienza operativa dei droni, ma ne espande anche la versatilità funzionale. Con sistemi di combattimento migliorati, una raccolta di risorse più rapida e protocolli di riparazione superiori, il Drone Swarm assicura un'assistenza completa anche negli scenari più difficili.
gui/menu/research/description/consumable_drone_swarm_extreme;Questa versione aggiornata non solo aumenta l'efficienza operativa dei droni, ma ne espande anche la versatilità funzionale. Con sistemi di combattimento migliorati, una raccolta di risorse più rapida e protocolli di riparazione superiori, il Drone Swarm assicura un'assistenza completa anche negli scenari più difficili.
gui/menu/research/description/consumable_drone_swarm_standard;Questo oggetto consumabile distribuisce quattro droni autonomi che forniscono varie funzioni di supporto per una durata limitata. Che si tratti di attaccare i nemici, raccogliere risorse o riparare strutture critiche, questi droni versatili si adattano alle esigenze immediate del campo di battaglia. Una volta attivato, il Drone Swarm opera in modo indipendente, consentendo al giocatore di concentrarsi sugli obiettivi strategici beneficiando al contempo di un supporto operativo migliorato.
gui/menu/research/description/consumable_drone_swarm_superior;Questa versione aggiornata non solo aumenta l'efficienza operativa dei droni, ma ne espande anche la versatilità funzionale. Con sistemi di combattimento migliorati, una raccolta di risorse più rapida e protocolli di riparazione superiori, il Drone Swarm assicura un'assistenza completa anche negli scenari più difficili.
gui/menu/research/description/consumable_gas_grenades_advanced;Una versione migliorata dell'originale Gas Grenade, che offre capacità di incapacità migliorate e un'area di effetto più ampia. Questo consumabile avanzato distribuisce una miscela di gas più potente che interrompe i sensi e le funzioni corporee del nemico con maggiore efficienza. Ideale per gli scontri ad alto rischio, assicura un controllo della folla superiore e il dominio sul campo di battaglia neutralizzando gli avversari in modo più efficace e per una durata maggiore.
gui/menu/research/description/consumable_gas_grenades_extreme;Una versione migliorata dell'originale Gas Grenade, che offre capacità di incapacità migliorate e un'area di effetto più ampia. Questo consumabile avanzato distribuisce una miscela di gas più potente che interrompe i sensi e le funzioni corporee del nemico con maggiore efficienza. Ideale per gli scontri ad alto rischio, assicura un controllo della folla superiore e il dominio sul campo di battaglia neutralizzando gli avversari in modo più efficace e per una durata maggiore.
gui/menu/research/description/consumable_gas_grenades_standard;La granata a gas è un consumabile tattico progettato per inabilitare i nemici tramite l'impiego di una nube di gas debilitante. Una volta lanciata, rilascia una scarica concentrata di sostanze chimiche nocive che compromettono la vista, interrompono le funzioni respiratorie e causano grave disorientamento. Questa versatile arma è ideale per il controllo della folla e può cambiare le sorti della battaglia neutralizzando più nemici contemporaneamente.
gui/menu/research/description/consumable_gas_grenades_superior;Una versione migliorata dell'originale Gas Grenade, che offre capacità di incapacità migliorate e un'area di effetto più ampia. Questo consumabile avanzato distribuisce una miscela di gas più potente che interrompe i sensi e le funzioni corporee del nemico con maggiore efficienza. Ideale per gli scontri ad alto rischio, assicura un controllo della folla superiore e il dominio sul campo di battaglia neutralizzando gli avversari in modo più efficace e per una durata maggiore.
gui/menu/research/description/consumable_mortar_sentry_advanced;Questa torretta dispiegabile avanzata è dotata di una migliore precisione di puntamento, una maggiore velocità di fuoco e proiettili esplosivi potenziati, assicurando il massimo impatto sul campo di battaglia. Rimane autosufficiente, non richiede munizioni o fonti di energia esterne e fornisce un eccezionale supporto di fuoco indiretto per un periodo prolungato.
gui/menu/research/description/consumable_mortar_sentry_extreme;Questa torretta dispiegabile avanzata è dotata di una migliore precisione di puntamento, una maggiore velocità di fuoco e proiettili esplosivi potenziati, assicurando il massimo impatto sul campo di battaglia. Rimane autosufficiente, non richiede munizioni o fonti di energia esterne e fornisce un eccezionale supporto di fuoco indiretto per un periodo prolungato.
gui/menu/research/description/consumable_mortar_sentry_standard;Il Mortar Sentry è una torretta dispiegabile che fornisce un formidabile supporto di fuoco indiretto per un periodo di tempo limitato. Una volta attivato, prende di mira e bombarda autonomamente le posizioni nemiche con colpi di mortaio ad alto potenziale esplosivo. Progettato per un rapido dispiegamento e facilità d'uso, il Mortar Sentry non richiede munizioni o fonti di energia aggiuntive, il che lo rende uno strumento altamente efficace per cambiare le sorti di intensi scenari di combattimento.
gui/menu/research/description/consumable_mortar_sentry_superior;Questa torretta dispiegabile avanzata è dotata di una migliore precisione di puntamento, una maggiore velocità di fuoco e proiettili esplosivi potenziati, assicurando il massimo impatto sul campo di battaglia. Rimane autosufficiente, non richiede munizioni o fonti di energia esterne e fornisce un eccezionale supporto di fuoco indiretto per un periodo prolungato.
gui/menu/research/description/gas_extractor_lvl1;Il Gas Extractor è una struttura specializzata progettata per sfruttare il gas infiammabile dalle prese d'aria del gas naturale sparse sul terreno. Attraverso processi avanzati di filtrazione ed estrazione, converte il gas grezzo in una fonte di energia utilizzabile, adatta ad alimentare varie operazioni e attrezzature di base. Questa struttura essenziale garantisce una produzione di energia sostenibile e l'utilizzo delle risorse in ambienti remoti e inospitali.
gui/menu/research/description/gas_extractor_lvl2;I suoi sistemi di stoccaggio e contenimento sfruttano avanzati campi energetici quantistici e materiali superconduttori per mantenere la stabilità del gas e prevenire perdite, anche in condizioni estreme di pressione e temperatura.
gui/menu/research/description/gas_extractor_lvl3;I suoi sistemi di stoccaggio e contenimento sfruttano avanzati campi energetici quantistici e materiali superconduttori per mantenere la stabilità del gas e prevenire perdite, anche in condizioni estreme di pressione e temperatura.
gui/menu/research/description/mech_weapons_charged_bomb_advanced;Un'iterazione migliorata del suo predecessore, che vanta un potere distruttivo aumentato e capacità di puntamento migliorate. Questa arma avanzata subisce un processo di carica più efficiente e presenta una tecnologia di teletrasporto migliorata per un dispiegamento più rapido e colpi più precisi.
gui/menu/research/description/mech_weapons_charged_bomb_extreme;Un'iterazione migliorata del suo predecessore, che vanta un potere distruttivo aumentato e capacità di puntamento migliorate. Questa arma avanzata subisce un processo di carica più efficiente e presenta una tecnologia di teletrasporto migliorata per un dispiegamento più rapido e colpi più precisi.
gui/menu/research/description/mech_weapons_charged_bomb_standard;La bomba caricata è un'arma devastante che richiede lungimiranza strategica e tempismo preciso per scatenare il suo potenziale distruttivo. Prima di essere dispiegata, deve essere caricata, incanalando l'energia in un dispositivo di teletrasporto compatto. Una volta innescata, la bomba viene teletrasportata nell'area bersaglio designata, dove esplode con una forza tremenda dopo un breve conto alla rovescia.
gui/menu/research/description/mech_weapons_charged_bomb_superior;Un'iterazione migliorata del suo predecessore, che vanta un potere distruttivo aumentato e capacità di puntamento migliorate. Questa arma avanzata subisce un processo di carica più efficiente e presenta una tecnologia di teletrasporto migliorata per un dispiegamento più rapido e colpi più precisi.
gui/menu/research/description/mech_weapons_flame_blade_advanced;Un'iterazione migliorata della classica Flame Blade, con capacità pirotecniche migliorate e funzionalità di combattimento potenziate. Realizzata con nanocompositi avanzati e leghe termoconduttive, questa lama scatena ondate di fiamme intense a ogni colpo, avvolgendo i nemici in una devastazione infuocata.
gui/menu/research/description/mech_weapons_flame_blade_extreme;Un'iterazione migliorata della classica Flame Blade, con capacità pirotecniche migliorate e funzionalità di combattimento potenziate. Realizzata con nanocompositi avanzati e leghe termoconduttive, questa lama scatena ondate di fiamme intense a ogni colpo, avvolgendo i nemici in una devastazione infuocata.
gui/menu/research/description/mech_weapons_flame_blade_standard;La Flame Blade è un'arma da mischia formidabile che unisce la tradizionale abilità artigianale delle lame con l'avanzata tecnologia pirotecnica. Oltre al suo filo affilato come un rasoio per il combattimento ravvicinato, la Flame Blade emette un'ondata di fiamme intense in un arco a corto raggio quando colpisce, avvolgendo i nemici vicini in un calore bruciante.
gui/menu/research/description/mech_weapons_flame_blade_superior;Un'iterazione migliorata della classica Flame Blade, con capacità pirotecniche migliorate e funzionalità di combattimento potenziate. Realizzata con nanocompositi avanzati e leghe termoconduttive, questa lama scatena ondate di fiamme intense a ogni colpo, avvolgendo i nemici in una devastazione infuocata.
gui/menu/research/description/mech_weapons_insect_gun_advanced;La versione aggiornata rappresenta un significativo progresso nell'armamento insettoide, migliorando sia la potenza di fuoco che le capacità di puntamento. Questa versione aggiornata mantiene il rapido dispiegamento di insetti esplosivi, introducendo al contempo algoritmi di tracciamento migliorati per una precisione ancora maggiore.
gui/menu/research/description/mech_weapons_insect_gun_extreme;La versione aggiornata rappresenta un significativo progresso nell'armamento insettoide, migliorando sia la potenza di fuoco che le capacità di puntamento. Questa versione aggiornata mantiene il rapido dispiegamento di insetti esplosivi, introducendo al contempo algoritmi di tracciamento migliorati per una precisione ancora maggiore.
gui/menu/research/description/mech_weapons_insect_gun_standard;Il Wasp Launcher è un'arma che rilascia piccoli insetti esplosivi a velocità elevata. Questi insetti seguono automaticamente e si dirigono verso i bersagli con precisione, assicurando il massimo danno alla detonazione. L'esplosione concussiva devasta i nemici senza la necessità di puntare manualmente.
gui/menu/research/description/mech_weapons_insect_gun_superior;La versione aggiornata rappresenta un significativo progresso nell'armamento insettoide, migliorando sia la potenza di fuoco che le capacità di puntamento. Questa versione aggiornata mantiene il rapido dispiegamento di insetti esplosivi, introducendo al contempo algoritmi di tracciamento migliorati per una precisione ancora maggiore.
gui/menu/research/description/mech_weapons_mortar_advanced;Questo mortaio potenziato spara crioproiettili che esplodono all'impatto, avvolgendo l'area bersaglio in un gelido gelo. Le sue crioesplosioni non solo infliggono danni, ma infliggono anche un effetto rallentante più potente sui nemici.
gui/menu/research/description/mech_weapons_mortar_extreme;Questo mortaio potenziato spara crioproiettili che esplodono all'impatto, avvolgendo l'area bersaglio in un gelido gelo. Le sue crioesplosioni non solo infliggono danni, ma infliggono anche un effetto rallentante più potente sui nemici.
gui/menu/research/description/mech_weapons_mortar_standard;Lancia raffiche di proiettili criogenici che detonano all'impatto, avvolgendo l'area bersaglio in temperature gelide. La crioesplosione risultante non solo infligge danni, ma rallenta anche i nemici catturati nel raggio della sua esplosione ghiacciata, rendendoli più vulnerabili agli attacchi successivi.
gui/menu/research/description/mech_weapons_mortar_superior;Questo mortaio potenziato spara crioproiettili che esplodono all'impatto, avvolgendo l'area bersaglio in un gelido gelo. Le sue crioesplosioni non solo infliggono danni, ma infliggono anche un effetto rallentante più potente sui nemici.
gui/menu/research/description/mech_weapons_root_gun_advanced;La Root Gun potenziata è costruita con leghe più leggere e resistenti, assicurando facilità di utilizzo, alta efficienza e danni più elevati. È un'arma precisa e mortale, e una meraviglia della biomeccanica.
gui/menu/research/description/mech_weapons_root_gun_extreme;La Root Gun potenziata è costruita con leghe più leggere e resistenti, assicurando facilità di utilizzo, alta efficienza e danni più elevati. È un'arma precisa e mortale, e una meraviglia della biomeccanica.
gui/menu/research/description/mech_weapons_root_gun_standard;La Root Gun è un'arma unica che, una volta attivata, evoca delle radici dal sottosuolo che si muovono verso il bersaglio, infliggendo danni continui mentre scavano nel terreno.
gui/menu/research/description/mech_weapons_root_gun_superior;La Root Gun potenziata è costruita con leghe più leggere e resistenti, assicurando facilità di utilizzo, alta efficienza e danni più elevati. È un'arma precisa e mortale, e una meraviglia della biomeccanica.
gui/menu/research/description/mech_weapons_semi_auto_advanced;Racchiuso in un telaio composito di ultima generazione, il fucile a ripetizione migliorato è più leggero e robusto, garantendo facilità d'uso e resistenza in condizioni estreme.
gui/menu/research/description/mech_weapons_semi_auto_extreme;Racchiuso in un telaio composito di ultima generazione, il fucile a ripetizione migliorato è più leggero e robusto, garantendo facilità d'uso e resistenza in condizioni estreme.
gui/menu/research/description/mech_weapons_semi_auto_standard;Il Repeater Rifle è un'arma da fuoco semiautomatica progettata per la precisione del fuoco rapido. Consente all'utente di sparare il più velocemente possibile premendo il grilletto, rendendolo ideale per situazioni che richiedono sia precisione che elevate cadenze di fuoco.
gui/menu/research/description/mech_weapons_semi_auto_superior;Racchiuso in un telaio composito di ultima generazione, il fucile a ripetizione migliorato è più leggero e robusto, garantendo facilità d'uso e resistenza in condizioni estreme.
gui/menu/research/description/mech_weapons_trident_advanced;Un potenziamento avanzato del Trident originale, progettato per offrire ancora più versatilità e potenza nel combattimento corpo a corpo. Si estende ulteriormente durante gli attacchi e infligge danni maggiori grazie all'uso di materiali più raffinati.
gui/menu/research/description/mech_weapons_trident_extreme;Un potenziamento avanzato del Trident originale, progettato per offrire ancora più versatilità e potenza nel combattimento corpo a corpo. Si estende ulteriormente durante gli attacchi e infligge danni maggiori grazie all'uso di materiali più raffinati.
gui/menu/research/description/mech_weapons_trident_standard;Il Trident è un'arma da mischia versatile progettata per estendersi durante gli attacchi, colpendo più nemici contemporaneamente. Quando viene brandito, si estende e infligge danni in tre direzioni, rendendolo perfetto per il controllo della folla e il combattimento ravvicinato.
gui/menu/research/description/mech_weapons_trident_superior;Un potenziamento avanzato del Trident originale, progettato per offrire ancora più versatilità e potenza nel combattimento corpo a corpo. Si estende ulteriormente durante gli attacchi e infligge danni maggiori grazie all'uso di materiali più raffinati.
gui/menu/research/description/skill_tornado_advanced;È dotato di un acceleratore di particelle atmosferiche potenziato che genera un vortice più grande e più stabile. Ciò si traduce in un tornado che si forma più velocemente con maggiore velocità di rotazione ed energia cinetica.
gui/menu/research/description/skill_tornado_extreme;È dotato di un acceleratore di particelle atmosferiche potenziato che genera un vortice più grande e più stabile. Ciò si traduce in un tornado che si forma più velocemente con maggiore velocità di rotazione ed energia cinetica.
gui/menu/research/description/skill_tornado_standard;Una volta attivato, il dispositivo sfrutta le particelle atmosferiche e l'energia cinetica per generare un vortice localizzato ad alta velocità. Questo vortice si espande rapidamente in un tornado su vasta scala, che poi si muove in avanti in una direzione predeterminata.
gui/menu/research/description/skill_tornado_superior;È dotato di un acceleratore di particelle atmosferiche potenziato che genera un vortice più grande e più stabile. Ciò si traduce in un tornado che si forma più velocemente con maggiore velocità di rotazione ed energia cinetica.
gui/menu/research/description/tower_hcm_lvl1;Il razzo della HCM Tower è equipaggiato con un carico utile di pesanti munizioni a grappolo, ciascuna progettata per coprire un'ampia area al momento della detonazione. Queste munizioni sono in grado di infliggere danni significativi alla maggior parte dei bersagli, anche a una distanza molto grande. La HCM Tower richiede una fornitura di gas infiammabile per funzionare.
gui/menu/research/description/tower_hcm_lvl2;Algoritmi di puntamento e suite di sensori migliorati migliorano la precisione e la reattività dell'HCM, consentendogli di acquisire e ingaggiare obiettivi con maggiore efficienza. Ciò garantisce che il razzo raggiunga la destinazione designata con precisione millimetrica, massimizzando l'efficacia del suo carico utile.
gui/menu/research/description/tower_hcm_lvl3;Algoritmi di puntamento e suite di sensori migliorati migliorano la precisione e la reattività dell'HCM, consentendogli di acquisire e ingaggiare obiettivi con maggiore efficienza. Ciò garantisce che il razzo raggiunga la destinazione designata con precisione millimetrica, massimizzando l'efficacia del suo carico utile.
gui/menu/research/description/tower_power_rod_lvl1;La Power Rod Tower è un'enorme installazione progettata per lanciare testate a lungo raggio verso obiettivi nemici. All'impatto, la testata spinge un'enorme Power Rod nel terreno, generando archi elettrici ad alta tensione in grado di danneggiare le unità vicine.
