;ITALIAN
prop_name/cactus_anemone_violet;Bulbus Anemone Rosea
prop_name/cactus_anemone_green;Bulbus Anemone Viridis
prop_name/mushroom_arachneum_pink;Fungus Arachneum Rosea
prop_name/mushroom_arachneum_orange;Fungus Arachneum Luteus
prop_name/mushroom_arachneum_green;Fungus Arachneum Viridis
prop_name/mushroom_bocoletus_brown;Fungus Bocoletus Brunus
prop_name/mushroom_bocoletus_green;Fungus Bocoletus Viridis
prop_name/mushroom_bocoletus_violet;Fungus Bocoletus Rosea
prop_name/mushroom_corallium_gray;Fungus Corallium Cinerus
prop_name/mushroom_corallium_orange;Fungus Corallium Luteus
prop_name/mushroom_corallium_pink;Fungus Corallium Rosea
prop_name/mushroom_virsum_pink;Fungus Virsum Rosea
prop_name/mushroom_virsum_orange;Fungus Virsum Luteus
prop_name/mushroom_virsum_red;Fungus Virsum Rubidus
prop_name/tree_mallow_pink;Bratus Vegetus Rosea
prop_name/tree_mallow_orange;Bratus Vegetus Luteus
prop_name/tree_mallow_blue;Bratus Vegetus Corulus
prop_name/tree_tongue_orange;Bratus Ligurio Luteus
prop_name/tree_tongue_violet;Bratus Ligurio Rosea
prop_name/tree_tongue_green;Bratus Ligurio Viridis
prop_name/mushroom_flat_top_orange;Fungus Plana Luteus
prop_name/mushroom_flat_top_azure;Fungus Plana Cyanus
prop_name/mushroom_flat_top_white;Fungus Plana Album
prop_name/tree_wyginus_pink;Bratus Flectus Rosea
prop_name/tree_wyginus_orange;Bratus Flectus Luteus
prop_name/tree_wyginus_blue;Bratus Flactus Corulus
prop_name/crystal_edgy_orange;Vitreus Silex Luteus
prop_name/crystal_edgy_fiery;Vitreus Silex Igneus
prop_name/crystal_edgy_blue;Vitreus Silex Corulus
prop_name/cactus_vibro_blue;Bulbus Tremor Corulus
prop_name/cactus_vibro_orange;Bulbus Tremor Luteus
prop_name/cactus_vibro_gold;Bulbus Tremor Aureus
prop_name/mushroom_exploding_orange;Fungus Displodo Luteus
prop_name/mushroom_exploding_blue;Fungus Displodo Corulus
prop_name/mushroom_exploding_white;Fungus Displodo Album
prop_name/mushroom_mycetoza_orange;Fungus Mycetoza Luteus
prop_name/mushroom_mycetoza_blue;Fungus Mycetoza Corulus
prop_name/mushroom_mycetoza_white;Fungus Mycetoza Album
prop_name/bush_cibarium_blue;Florium Cibarium Corulus
prop_name/bush_cibarium_orange;Florium Cibarium Luteus
prop_name/bush_cibarium_golden;Florium Cibarium Aureus
prop_name/bush_metallic_flowers;Florium Metallicus Floreo
prop_name/cactus_thorn_red;Bulbus Aculeus Rubidus
prop_name/cactus_thorn_blue;Bulbus Aculeus Corulus
prop_name/cactus_thorn_pink;Bulbus Aculeus Rosea
prop_name/crystal_metallic_red;Vitreus Metallicus Rubidus
prop_name/crystal_metallic_purple;Vitreus Metallicus Purpura
prop_name/crystal_metallic_blue;Vitreus Metallicus Corulus
prop_name/grass_metallic_spiky;Herba Metallicus Spica
prop_name/mushroom_metallic_gray;Fungus Metallicus Cinerus
prop_name/mushroom_metallic_blue;Fungus Metallicus Corulus
prop_name/mushroom_metallic_red;Fungus Metallicus Rubidus
prop_name/mushroom_stump_orange;Fungus Truncus Luteus
prop_name/mushroom_stump_red;Fungus Truncus Rubidus
prop_name/mushroom_stump_golden;Fungus Truncus Aureus
prop_name/bush_ray_flower;Florium Viridis
prop_name/cactus_fuzzball_red;Bulbus Spina Rubidus
prop_name/cactus_fuzzball_violet;Bulbus Spina Rosea
prop_name/cactus_fuzzball_green;Bulbus Spina Viridis
prop_name/cactus_pear_pink;Bulbus Pirum Rosea
prop_name/cactus_pear_orange;Bulbus Pirum Luteus
prop_name/cactus_pear_green;Bulbus Pirum Viridis
prop_name/cactus_pear_black;Bulbus Pirum Furvus
prop_name/cactus_pear_purple;Bulbus Pirum Purpura
prop_name/cactus_yellowtooth_green;Bulbus Dente Viridis
prop_name/cactus_yellowtooth_yellow;Bulbus Dente Flavus
prop_name/cactus_yellowtooth_red;Bulbus Dente Rubidus
prop_name/tree_blossomed_violet;Bratus Crystallo Rosea
prop_name/tree_blossomed_pink;Bratus Crystallo Cyanus
prop_name/tree_blossomed_orange;Bratus Crystallo Luteus
prop_name/mushroom_bulb_acid_orange;Fungus Acidus Luteus
prop_name/mushroom_bulb_acid_black;Fungus Acidus Furvus
prop_name/mushroom_bulb_acid_red;Fungus Acidus Rubidus
prop_name/mushroom_bulb_acid_pink;Fungus Acidus Rosea
prop_name/mushroom_bulb_acid_yellow;Fungus Acidus Flavus
prop_name/mushroom_lumio_blue;Fungus Tentacles Cyanes
prop_name/mushroom_lumio_orange;Fungus Tentacles Luteus
prop_name/mushroom_lumio_green;Fungus Tentacles Viridis
prop_name/mushroom_pearls_violet;Fungus Globulus Rosea
prop_name/mushroom_pearls_green;Fungus Globulus Viridis
prop_name/mushroom_pearls_red;Fungus Globulus Rubidus
prop_name/mushroom_standard_common;Fungus Regula Plebejus 
prop_name/mushroom_standard_blue;Fungus Regula Corulus 
prop_name/mushroom_standard_violet;Fungus Regula Rosea 
prop_name/mushroom_standard_red;Fungus Regula Rubidus 
prop_name/mushroom_standard_fluorescent;Fungus Regula Lucidus 
prop_name/mushroom_standard_orange;Fungus Regula Luteus 
prop_name/mushroom_vulgaris_orange;Fungus Pileus Luteus
prop_name/mushroom_vulgaris_violet;Fungus Pileus Rosea
prop_name/mushroom_vulgaris_gray;Fungus Pileus Cinerus
prop_name/mushroom_winding_violet;Fungus Spiralis Rosea
prop_name/mushroom_winding_orange;Fungus Spiralis Luteus
prop_name/mushroom_winding_gray;Fungus Spiralis Cinerus
prop_name/tree_burdock_green;Bratus Zizania Viridis
prop_name/tree_burdock_orange;Bratus Zizania Luteus
prop_name/tree_burdock_red;Bratus Zizania Rubidus
prop_name/tree_catkins_yellow;Bratus Amentis Flavus
prop_name/tree_catkins_blue;Bratus Amentis Corulus
prop_name/tree_catkins_red;Bratus Amentis Rubidus
prop_name/tree_catkins_green;Bratus Amentis Viridis
prop_name/tree_joshua_green;Bratus Agnus Viridis
prop_name/tree_joshua_orange;Bratus Agnus Luteus
prop_name/tree_joshua_blue;Bratus Agnus Corulus
prop_name/tree_leaky_red;Bratus Futilis Rubidus
prop_name/tree_leaky_orange;Bratus Futilis Flavus
prop_name/tree_leaky_gray;Bratus Futilis Cinerus
prop_name/tree_drexolian_green;Bratus Movens Viridis
prop_name/tree_drexolian_pink;Bratus Movens Rosea
prop_name/tree_drexolian_red;Bratus Movens Rubidus
prop_name/tree_floss_violet;Bratus Florus Rosea
prop_name/tree_floss_orange;Bratus Florus Luteus
prop_name/tree_floss_red;Bratus Florus Rubidus
prop_name/mushroom_spiky_bulb_pink;Fungus Crystallo Rosea
prop_name/mushroom_spiky_bulb_blue;Fungus Crystallo Corulus
prop_name/mushroom_spiky_bulb_red;Fungus Crystallo Luteus
prop_name/crystal_pure_blue;Vitreus Pura Corulus
prop_name/crystal_pure_green;Vitreus Pura Viridis
prop_name/crystal_pure_pink;Vitreus Pura Rosea
prop_name/crystal_pure_red;Vitreus Pura Rubidus
prop_name/crystal_entwined_blue;Vitreus Implexus Corulus
prop_name/crystal_entwined_green;Vitreus Implexus Viridis
prop_name/crystal_entwined_yellow;Vitreus Implexus Flavus
prop_name/crystal_entwined_purple;Vitreus Implexus Purpura
prop_name/crystal_entwined_red;Vitreus Implexus Rubidus
prop_name/cryo_plant;Peculiaris Fungus Glacio
prop_name/magnetic_boulder;Petra Magneticus
resource_name/specimen_arachnoid_boss;${resource_name/specimen} - ${monster_name/arachnoid_boss}
resource_name/specimen_arachnoid;${resource_name/specimen} - ${monster_name/arachnoid}
resource_name/specimen_arachnoid_alpha;${resource_name/specimen} - ${monster_name/arachnoid_alpha}
resource_name/specimen_arachnoid_elite;${resource_name/specimen} - ${monster_name/arachnoid_elite}
resource_name/specimen_arachnoid_ultra;${resource_name/specimen} - ${monster_name/arachnoid_ultra}
resource_name/specimen_baxmoth;${resource_name/specimen} - ${monster_name/baxmoth}
resource_name/specimen_baxmoth_alpha;${resource_name/specimen} - ${monster_name/baxmoth_alpha}
resource_name/specimen_baxmoth_ultra;${resource_name/specimen} - ${monster_name/baxmoth_ultra}
resource_name/specimen_bitrid;${resource_name/specimen} - ${monster_name/bitrid}
resource_name/specimen_bitrid_alpha;${resource_name/specimen} - ${monster_name/bitrid_alpha}
resource_name/specimen_bitrid_ultra;${resource_name/specimen} - ${monster_name/bitrid_ultra}
resource_name/specimen_bomogan;${resource_name/specimen} - ${monster_name/bomogan}
resource_name/specimen_bomogan_alpha;${resource_name/specimen} - ${monster_name/bomogan_alpha}
resource_name/specimen_bomogan_ultra;${resource_name/specimen} - ${monster_name/bomogan_ultra}
resource_name/specimen_canoptrix;${resource_name/specimen} - ${monster_name/canoptrix}
resource_name/specimen_canoptrix_alpha;${resource_name/specimen} - ${monster_name/canoptrix_alpha}
resource_name/specimen_canoptrix_ultra;${resource_name/specimen} - ${monster_name/canoptrix_ultra}
resource_name/specimen_carnicinth;${resource_name/specimen} - ${monster_name/carnicinth}
resource_name/specimen_carnicinth_alpha;${resource_name/specimen} - ${monster_name/carnicinth_alpha}
resource_name/specimen_carnicinth_ultra;${resource_name/specimen} - ${monster_name/carnicinth_ultra}
resource_name/specimen_crader;${resource_name/specimen} - ${monster_name/crader}
resource_name/specimen_crader_alpha;${resource_name/specimen} - ${monster_name/crader_alpha}
resource_name/specimen_crader_ultra;${resource_name/specimen} - ${monster_name/crader_ultra}
resource_name/specimen_creeper;${resource_name/specimen} - ${monster_name/creeper}
resource_name/specimen_drexolian;${resource_name/specimen} - ${monster_name/drexolian}
resource_name/specimen_drexolian_alpha;${resource_name/specimen} - ${monster_name/drexolian_alpha}
resource_name/specimen_drexolian_ultra;${resource_name/specimen} - ${monster_name/drexolian_ultra}
resource_name/specimen_geotrupex;${resource_name/specimen} - ${monster_name/geotrupex}
resource_name/specimen_geotrupex_alpha;${resource_name/specimen} - ${monster_name/geotrupex_alpha}
resource_name/specimen_geotrupex_ultra;${resource_name/specimen} - ${monster_name/geotrupex_ultra}
resource_name/specimen_gnerot;${resource_name/specimen} - ${monster_name/gnerot}
resource_name/specimen_gnerot_alpha;${resource_name/specimen} - ${monster_name/gnerot_alpha}
resource_name/specimen_gnerot_ultra;${resource_name/specimen} - ${monster_name/gnerot_ultra}
resource_name/specimen_gnerot_boss;${resource_name/specimen} - ${monster_name/gnerot_boss}
resource_name/specimen_gnerot_caverns;${resource_name/specimen} - ${monster_name/gnerot_caverns}
resource_name/specimen_granan;${resource_name/specimen} - ${monster_name/granan}
resource_name/specimen_granan_alpha;${resource_name/specimen} - ${monster_name/granan_alpha}
resource_name/specimen_granan_ultra;${resource_name/specimen} - ${monster_name/granan_ultra}
resource_name/specimen_hammeroceros;${resource_name/specimen} - ${monster_name/hammeroceros}
resource_name/specimen_hammeroceros_alpha;${resource_name/specimen} - ${monster_name/hammeroceros_alpha}
resource_name/specimen_hammeroceros_ultra;${resource_name/specimen} - ${monster_name/hammeroceros_ultra}
resource_name/specimen_hedroner;${resource_name/specimen} - ${monster_name/hedroner}
resource_name/specimen_hedroner_alpha;${resource_name/specimen} - ${monster_name/hedroner_alpha}
resource_name/specimen_hedroner_ultra;${resource_name/specimen} - ${monster_name/hedroner_ultra}
resource_name/specimen_hedroner_morphium;${resource_name/specimen} - ${monster_name/hedroner_morphium}
resource_name/specimen_jurvine;${resource_name/specimen} - ${monster_name/jurvine}
resource_name/specimen_jurvine_alpha;${resource_name/specimen} - ${monster_name/jurvine_alpha}
resource_name/specimen_jurvine_ultra;${resource_name/specimen} - ${monster_name/jurvine_ultra}
resource_name/specimen_kermon;${resource_name/specimen} - ${monster_name/kermon}
resource_name/specimen_kermon_alpha;${resource_name/specimen} - ${monster_name/kermon_alpha}
resource_name/specimen_kermon_ultra;${resource_name/specimen} - ${monster_name/kermon_ultra}
resource_name/specimen_kermon_metallic;${resource_name/specimen} - ${monster_name/kermon_metallic}
resource_name/specimen_krocoon;${resource_name/specimen} - ${monster_name/krocoon}
resource_name/specimen_krocoon_alpha;${resource_name/specimen} - ${monster_name/krocoon_alpha}
resource_name/specimen_krocoon_ultra;${resource_name/specimen} - ${monster_name/krocoon_ultra}
resource_name/specimen_lesigian;${resource_name/specimen} - ${monster_name/lesigian}
resource_name/specimen_lesigian_alpha;${resource_name/specimen} - ${monster_name/lesigian_alpha}
resource_name/specimen_lesigian_ultra;${resource_name/specimen} - ${monster_name/lesigian_ultra}
resource_name/specimen_magmoth;${resource_name/specimen} - ${monster_name/magmoth}
resource_name/specimen_magmoth_alpha;${resource_name/specimen} - ${monster_name/magmoth_alpha}
resource_name/specimen_magmoth_ultra;${resource_name/specimen} - ${monster_name/magmoth_ultra}
resource_name/specimen_moltug;${resource_name/specimen} - ${monster_name/moltug}
resource_name/specimen_moltug_alpha;${resource_name/specimen} - ${monster_name/moltug_alpha}
resource_name/specimen_moltug_ultra;${resource_name/specimen} - ${monster_name/moltug_ultra}
resource_name/specimen_mothray;${resource_name/specimen} - ${monster_name/mothray}
resource_name/specimen_mothray_alpha;${resource_name/specimen} - ${monster_name/mothray_alpha}
resource_name/specimen_mothray_ultra;${resource_name/specimen} - ${monster_name/mothray_ultra}
resource_name/specimen_mushbit;${resource_name/specimen} - ${monster_name/mushbit}
resource_name/specimen_mushbit_alpha;${resource_name/specimen} - ${monster_name/mushbit_alpha}
resource_name/specimen_mushbit_ultra;${resource_name/specimen} - ${monster_name/mushbit_ultra}
resource_name/specimen_necrodon;${resource_name/specimen} - ${monster_name/necrodon}
resource_name/specimen_necrodon_alpha;${resource_name/specimen} - ${monster_name/necrodon_alpha}
resource_name/specimen_necrodon_ultra;${resource_name/specimen} - ${monster_name/necrodon_ultra}
resource_name/specimen_nerilian;${resource_name/specimen} - ${monster_name/nerilian}
resource_name/specimen_nerilian_alpha;${resource_name/specimen} - ${monster_name/nerilian_alpha}
resource_name/specimen_nerilian_ultra;${resource_name/specimen} - ${monster_name/nerilian_ultra}
resource_name/specimen_nurglax;${resource_name/specimen} - ${monster_name/nurglax}
resource_name/specimen_nurglax_alpha;${resource_name/specimen} - ${monster_name/nurglax_alpha}
resource_name/specimen_nurglax_ultra;${resource_name/specimen} - ${monster_name/nurglax_ultra}
resource_name/specimen_phirian;${resource_name/specimen} - ${monster_name/phirian}
resource_name/specimen_phirian_alpha;${resource_name/specimen} - ${monster_name/phirian_alpha}
resource_name/specimen_phirian_ultra;${resource_name/specimen} - ${monster_name/phirian_ultra}
resource_name/specimen_quelver;${resource_name/specimen} - ${monster_name/quelver}
resource_name/specimen_quelver_alpha;${resource_name/specimen} - ${monster_name/quelver_alpha}
resource_name/specimen_quelver_ultra;${resource_name/specimen} - ${monster_name/quelver_ultra}
resource_name/specimen_rugwig;${resource_name/specimen} - ${monster_name/rugwig}
resource_name/specimen_rugwig_alpha;${resource_name/specimen} - ${monster_name/rugwig_alpha}
resource_name/specimen_rugwig_ultra;${resource_name/specimen} - ${monster_name/rugwig_ultra}
resource_name/specimen_shegret;${resource_name/specimen} - ${monster_name/shegret}
resource_name/specimen_shegret_alpha;${resource_name/specimen} - ${monster_name/shegret_alpha}
resource_name/specimen_shegret_ultra;${resource_name/specimen} - ${monster_name/shegret_ultra}
resource_name/specimen_spawner_canoptrix;${resource_name/specimen} - ${monster_name/spawner_canoptrix}
resource_name/specimen_spawner_granan;${resource_name/specimen} - ${monster_name/spawner_granan}
resource_name/specimen_spawner_morirot;${resource_name/specimen} - ${monster_name/spawner_morirot}
resource_name/specimen_spawner_mushbit;${resource_name/specimen} - ${monster_name/spawner_mushbit}
resource_name/specimen_stregaros;${resource_name/specimen} - ${monster_name/stregaros}
resource_name/specimen_stregaros_alpha;${resource_name/specimen} - ${monster_name/stregaros_alpha}
resource_name/specimen_stregaros_ultra;${resource_name/specimen} - ${monster_name/stregaros_ultra}
resource_name/specimen_sulphorit;${resource_name/specimen} - ${monster_name/sulphorit}
resource_name/specimen_sulphorit_alpha;${resource_name/specimen} - ${monster_name/sulphorit_alpha}
resource_name/specimen_sulphorit_ultra;${resource_name/specimen} - ${monster_name/sulphorit_ultra}
resource_name/specimen_vathamite;${resource_name/specimen} - ${monster_name/vathamite}
resource_name/specimen_vathamite_alpha;${resource_name/specimen} - ${monster_name/vathamite_alpha}
resource_name/specimen_vathamite_ultra;${resource_name/specimen} - ${monster_name/vathamite_ultra}
resource_name/specimen_venomine;${resource_name/specimen} - ${monster_name/venomine}
resource_name/specimen_venomine_alpha;${resource_name/specimen} - ${monster_name/venomine_alpha}
resource_name/specimen_venomine_ultra;${resource_name/specimen} - ${monster_name/venomine_ultra}
resource_name/specimen_vesaurus;${resource_name/specimen} - ${monster_name/vesaurus}
resource_name/specimen_vesaurus_alpha;${resource_name/specimen} - ${monster_name/vesaurus_alpha}
resource_name/specimen_vesaurus_ultra;${resource_name/specimen} - ${monster_name/vesaurus_ultra}
resource_name/specimen_morirot;${resource_name/specimen} - ${monster_name/morirot}
resource_name/specimen_morirot_alpha;${resource_name/specimen} - ${monster_name/morirot_alpha}
resource_name/specimen_morirot_ultra;${resource_name/specimen} - ${monster_name/morirot_ultra}
resource_name/specimen_zorant;${resource_name/specimen} - ${monster_name/zorant}
resource_name/specimen_zorant_alpha;${resource_name/specimen} - ${monster_name/zorant_alpha}
resource_name/specimen_zorant_ultra;${resource_name/specimen} - ${monster_name/zorant_ultra}
resource_name/specimen_bush_ray_flower;${resource_name/specimen} - ${prop_name/bush_ray_flower}
resource_name/specimen_cactus_fuzzball_red;${resource_name/specimen} - ${prop_name/cactus_fuzzball_red}
resource_name/specimen_cactus_fuzzball_violet;${resource_name/specimen} - ${prop_name/cactus_fuzzball_violet}
resource_name/specimen_cactus_fuzzball_green;${resource_name/specimen} - ${prop_name/cactus_fuzzball_green}
resource_name/specimen_cactus_pear_pink;${resource_name/specimen} - ${prop_name/cactus_pear_pink}
resource_name/specimen_cactus_pear_orange;${resource_name/specimen} - ${prop_name/cactus_pear_orange}
resource_name/specimen_cactus_pear_green;${resource_name/specimen} - ${prop_name/cactus_pear_green}
resource_name/specimen_cactus_pear_black;${resource_name/specimen} - ${prop_name/cactus_pear_black}
resource_name/specimen_cactus_pear_purple;${resource_name/specimen} - ${prop_name/cactus_pear_purple}
resource_name/specimen_cactus_yellowtooth_green;${resource_name/specimen} - ${prop_name/cactus_yellowtooth_green}
resource_name/specimen_cactus_yellowtooth_yellow;${resource_name/specimen} - ${prop_name/cactus_yellowtooth_yellow}
resource_name/specimen_cactus_yellowtooth_red;${resource_name/specimen} - ${prop_name/cactus_yellowtooth_red}
resource_name/specimen_tree_blossomed_violet;${resource_name/specimen} - ${prop_name/tree_blossomed_violet}
resource_name/specimen_tree_blossomed_pink;${resource_name/specimen} - ${prop_name/tree_blossomed_pink}
resource_name/specimen_tree_blossomed_orange;${resource_name/specimen} - ${prop_name/tree_blossomed_orange}
resource_name/specimen_mushroom_bulb_acid_orange;${resource_name/specimen} - ${prop_name/mushroom_bulb_acid_orange}
resource_name/specimen_mushroom_bulb_acid_black;${resource_name/specimen} - ${prop_name/mushroom_bulb_acid_black}
resource_name/specimen_mushroom_bulb_acid_red;${resource_name/specimen} - ${prop_name/mushroom_bulb_acid_red}
resource_name/specimen_mushroom_bulb_acid_pink;${resource_name/specimen} - ${prop_name/mushroom_bulb_acid_pink}
resource_name/specimen_mushroom_bulb_acid_yellow;${resource_name/specimen} - ${prop_name/mushroom_bulb_acid_yellow}
resource_name/specimen_mushroom_lumio_blue;${resource_name/specimen} - ${prop_name/mushroom_lumio_blue}
resource_name/specimen_mushroom_lumio_orange;${resource_name/specimen} - ${prop_name/mushroom_lumio_orange}
