;ITALIAN
DIALOG/demo/ashley_second_attack_defended;Sembra che li abbiamo respinti, ma sono sicuro che ne arriveranno altri alla nostra base. Dobbiamo assicurare la nostra presenza qui.
DIALOG/demo/ashley_simulation_01;Che cos'è questo?
DIALOG/demo/ashley_simulation_02;Mi basta sapere che possiamo sopravvivere lì. Non vedo l'ora di fare il salto. Lì sarà tutto nuovo e in attesa di essere studiato ed esplorato...
DIALOG/demo/ashley_simulation_03;Non facciamo i drammatici, signor Riggs. Una tuta da mecha alta 5 metri con minigun e lame di potenza dovrebbe essere sufficiente per difendersi da qualche creatura affamata.
DIALOG/demo/ashley_steel_factory;Ok signor Riggs, la produzione di Ironium è avviata e funzionante.
DIALOG/demo/ashley_steel_factory_attack;Non ci daranno mica una tregua, vero?
DIALOG/demo/ashley_steel_factory_attack_defended;Il quartier generale ha un portale di rift permanente. Possiamo fare un salto di rift sulla sua posizione in qualsiasi momento. Andiamo!
DIALOG/demo/ashley_steel_factory_towers;Le torri sentinella sono pronte. Dovrebbero essere in grado di respingere piccoli gruppi di aggressori.
DIALOG/demo/ashley_survive;Sembra che questa volta li abbiamo fatti davvero arrabbiare. Dobbiamo costruire più difese!
DIALOG/demo/ashley_survive_01;Non abbiamo molto tempo. Dobbiamo costruire quante più torri difensive possibile. Ricordatevi anche di costruire più muri e piazzare tutte le mine che possiamo.
DIALOG/demo/ashley_survive_02;Abbiamo ancora un po' di tempo, signor Riggs. Possiamo installare più strati di mura attorno alla nostra base e piazzare quante più torri difensive possibile. Puoi anche usare la tua trivella per scavare risorse aggiuntive se le nostre fabbriche le producono troppo lentamente.
DIALOG/demo/ashley_survive_03;Eccoci qui, signor Riggs. Preparate le vostre armi. Facciamogli vedere cosa sappiamo fare.
DIALOG/demo/ashley_survive_04;È stato facile. Non so se vale la pena sprecare risorse per creare altre difese.
DIALOG/demo/ashley_survive_05;Sì, signore!
DIALOG/demo/ashley_survive_06;Le cose stanno degenerando rapidamente. Dobbiamo attrezzarci prima che la seconda ondata colpisca i nostri muri. Facciamogli vedere con chi hanno a che fare.
DIALOG/demo/ashley_survive_07;Questo attacco è stato molto più forte. Non so se riusciremo a resistere ancora a lungo. Gli animali selvatici non si comportano così. Non dovrebbero comportarsi come un esercito senziente.
DIALOG/demo/ashley_survive_08;Sto disattivando tutti i sistemi secondari e deviando tutta l'energia alle vostre armi. O noi o loro.
DIALOG/demo/ashley_survive_09;Ce ne sono troppi. Ci stanno travolgendo.
DIALOG/demo/houston_base_defenses_01;Capitano Nowak, conosciamo tutti la sua rinomata formazione scientifica, ma le sue prestazioni in combattimento nella simulazione precedente sono state tutt'altro che spettacolari.
DIALOG/demo/houston_base_defenses_02;Dal momento che lo hai già fatto un paio di volte, abbiamo introdotto alcune nuove aggiunte a questo corso. Vedremo qual è realmente la tua area di competenza...
DIALOG/demo/houston_base_defenses_03;Ben fatto, Capitano Nowak. Lo scopo di questo esercizio di addestramento è di prepararti a situazioni di combattimento intense. Questa simulazione si basa sulle nostre scansioni a lunga distanza di Galatea 37. Potrebbero essere accurate o meno. Sarai solo là fuori. Non ci saranno comunicazioni a casa finché non riuscirai a stabilizzare un portale di frattura per tornare sulla Terra. Dovrai fare affidamento solo sulle tue abilità e sulla tua tuta Mecha.
DIALOG/demo/houston_begin_base_setup_01;Ricevuto, iniziamo l'impostazione della base sul campo.
DIALOG/demo/houston_build_hq_01;Capitano Nowak, vorrei ricordarle che, anche se si tratta di un'esercitazione di addestramento simulata, ci si aspetta che lei si comporti come se si trattasse della sua vera missione su Galatea 37.
DIALOG/demo/houston_please_report_01;Riftbreaker Nowak, per favore, fai rapporto.
DIALOG/demo/houston_survive_01;Capitano Nowak, non sei l'unico candidato per la missione su Galatea 37. Meglio che tu migliori le statistiche di combattimento se vuoi qualificarti per quel salto. Stiamo investendo troppe risorse in questa missione solo per inviare uno scienziato che verrà mangiato da un branco di animali arrabbiati. Dimostraci che puoi sopravvivere là fuori!
DIALOG/demo/houston_survive_02;Andrai su un pianeta alieno, pieno di forme di vita sconosciute. Non dare per scontato di sapere che tipo di pericoli potrebbero nascondersi lì. Il tuo obiettivo primario è sopravvivere. Se qualcosa sta cercando di ucciderti, non importa se è senziente o meno. Adattati o muori!
DIALOG/demo/houston_survive_03;Ti stiamo tirando fuori, Capitano Nowak. Non eri destinato a sopravvivere a questa ultima ondata di attacco. Dovrebbe servire come promemoria del fatto che non dovresti mai sottovalutare la minaccia che potresti dover affrontare, anche se pensi di avere il controllo. La tua prestazione durante questa sessione di addestramento è stata soddisfacente. Puoi iniziare a prepararti per il tuo viaggio a Galatea 37.
DIALOG/demo/houston_survive_04;Cosa? Come hai fatto a sopravvivere? Non avresti dovuto distruggere l'attacco finale. Questo è eccezionale! Congratulazioni Nowak. Sono sicuro che sopravviverai a qualsiasi cosa Galatea abbia in serbo per te. Puoi iniziare a prepararti per il salto.
DIALOG/demo/mech_base_defenses_01;Ashley. Rilevo molto movimento verso ovest. Dovremmo costruire un perimetro difensivo attorno alla base.
DIALOG/demo/mech_base_defenses_02;Sto rilevando un folto gruppo di creature che si sta dirigendo verso la nostra posizione. Preparatevi a combattere.
DIALOG/demo/mech_base_defenses_ready;Queste difese di base dovrebbero darci un po' di sicurezza, ma dovremmo cercare di circondare tutta la nostra base con mura e torri difensive,
DIALOG/demo/mech_build_or_attack;Un'analisi rapida suggerisce due strategie efficaci: Uno - costruire più difese. Due - distruggere tutti i nidi di creature ostili presenti in quest'area.
DIALOG/demo/mech_choose_objective_01;Ashley. Dovremmo proteggere ulteriormente ed espandere la nostra base. Puoi costruire più difese o uscire e ripulire i nidi delle creature ostili per prevenire ulteriori attacchi.
DIALOG/demo/mech_hello;Buongiorno Ashley. I miei sensori stanno rilevando un grande sciame di Canoptrix che si dirige verso la base.
DIALOG/demo/mech_nest;Abbiamo ripulito questo nido, questo ridurrà la potenza dei loro attacchi.
DIALOG/demo/mech_nest_2;Abbiamo distrutto il nido. Anche se c'erano diverse specie di creature qui intorno, sembrava che stessero tutte lavorando insieme contro di noi.
DIALOG/demo/mech_nest_3;...e molto più pericoloso.
DIALOG/demo/mech_place_towers;Questi attacchi stanno diventando sempre più forti. Dobbiamo rafforzare le nostre difese.
DIALOG/demo/mech_radar;Dovremmo costruire un radar per rilevare questi attacchi con maggiore anticipo.
DIALOG/demo/mech_rift;Ashley, ti consiglio vivamente di piazzare un Rift Portal vicino a questa fabbrica. In questo modo potremo tornare rapidamente in questa posizione se dovesse essere minacciata.
DIALOG/demo/mech_rift_instruction;Seleziona uno qualsiasi dei Rift Portal disponibili per teletrasportarti istantaneamente in quella posizione. Viaggiare attraverso i Rift è quasi istantaneo e non consuma risorse.
DIALOG/demo/mech_second_attack;Rilevo un folto gruppo di creature che si sta dirigendo verso la nostra base.
DIALOG/demo/mech_second_attack_defended;Non rilevo più creature ostili nelle vicinanze della base.
DIALOG/demo/mech_simulation_01;Questo non dovrebbe essere qui. È un errore nella costruzione della simulazione. Questo ambiente è stato creato combinando scansioni quantistiche a lunga distanza di Galatea37 e altri pianeti noti che condividono proprietà simili. Raccogliere tutti questi dati ha richiesto molti anni e siamo stati in grado di scansionare solo una piccola frazione del pianeta.
DIALOG/demo/mech_simulation_02;...e aspettano di mangiarci.
DIALOG/demo/mech_steel_factory;Sembra un grande deposito di minerale. Costruisci una fabbrica di Ironium in questa zona e alimentala con una centrale elettrica al Carbonium.
DIALOG/demo/mech_steel_factory_attack;Rilevo delle creature ostili che si dirigono verso il nostro nuovo avamposto minerario.
DIALOG/demo/mech_steel_factory_defended;Ashley, abbiamo difeso la base mineraria, ma avverto un altro attacco diretto al nostro quartier generale. Dovremmo tornarci in fretta.
DIALOG/demo/mech_steel_factory_towers;Si consiglia inoltre di posizionare torri di sentinella aggiuntive per difendere questo avamposto. Ricordatevi di collegare le torri alla rete elettrica tramite Energy Connectors.
DIALOG/demo/mech_survive;Rilevo numerosi gruppi di creature aliene che si dirigono verso la nostra base.
DIALOG/demo/mech_survive_01;Attenzione! Sto rilevando un enorme sciame di creature nemiche che si sta dirigendo verso la nostra base. È visibile sui miei rilevatori sismici, è molto più grande di qualsiasi cosa abbiamo visto prima.
DIALOG/demo/mech_survive_02;Riesco a percepire lo sciame ostile che si avvicina alla nostra base. Questo attacco sarà molto più grande di qualsiasi cosa abbiamo visto finora.
DIALOG/demo/mech_survive_03;Attenzione! Lo sciame alieno si sta avvicinando. Scudi attivati. Massimizzazione della potenza in uscita.
DIALOG/demo/mech_survive_04;Ashley, abbiamo sconfitto la prima ondata di attacco. Ripara rapidamente tutto ciò che puoi. Dovrebbero arrivare altri.
DIALOG/demo/mech_survive_05;Attenzione! Altri nemici si stanno dirigendo verso la nostra base.
DIALOG/demo/mech_survive_06;Seconda ondata di attacco sconfitta. Ashley, costruisci tutto quello che puoi. Non sappiamo cosa succederà dopo.
DIALOG/demo/mech_survive_07;Attenzione! Altri nemici si stanno dirigendo verso la nostra base. Livello di minaccia massimo!
DIALOG/demo/mech_survive_08;Situazione critica. Sto riattivando tutta l'alimentazione ai sistemi di salvaguardia della vita.
DIALOG/familiarity/ashley_cactus_pear_blue_01;I nostri sensori indicano grandi quantità di Tanzanite in questa pianta. Possiamo raccogliere questo minerale direttamente dalla pianta.
DIALOG/familiarity/ashley_cactus_pear_blue_02;Raccogliamo altri campioni di questa pianta per studiare come riesce a sintetizzare questo minerale. È la nostra pista migliore.
DIALOG/familiarity/ashley_cactus_pear_blue_03;Ok, procediamo non appena avremo raggiunto il nostro obiettivo attuale.
DIALOG/familiarity/ashley_cactus_pear_blue_04;I nostri sensori indicano grandi quantità di tanzanite nel campione di cactus.
DIALOG/familiarity/ashley_cactus_pear_blue_05;Un arsenale di armi più ampio potrebbe senza dubbio aiutarci a sopravvivere contro tutte queste nuove specie di creature ostili. Cominciamo a fare ricerche sulla gestione della tanzanite.
DIALOG/familiarity/ashley_crystal_entwined_blue_01;Questa formazione di crescita è molto particolare! È un cristallo intrecciato in viticci molto forti. Sembra che questa forma di vita coltivi effettivamente questo cristallo.
DIALOG/familiarity/ashley_crystal_entwined_blue_02;Il campo magnetico in questo bioma si comporta in modo completamente strano. È molto appropriato vedere questo minerale qui. Dovremmo fare ulteriori ricerche su questi cristalli. Sig. Riggs, può cercarli usando lo scanner orbitale?
DIALOG/familiarity/ashley_crystal_entwined_blue_03;Ottimo lavoro, signor Riggs. Ci saltiamo sopra non appena abbiamo finito qui. Non vedo l'ora di vedere cosa possiamo creare con altra Ferdonite.
DIALOG/familiarity/ashley_crystal_entwined_blue_04;Il campo magnetico in questo bioma si comporta in modo completamente strano. È molto appropriato vedere questo minerale qui. Dovremmo sicuramente fare ulteriori ricerche su questi cristalli. Questo ci consentirà di raccogliere più Ferdonite e creare nuovi equipaggiamenti.
DIALOG/familiarity/ashley_crystal_entwined_blue_05;Abbiamo terminato la ricerca sulla gestione della Ferdonite, i risultati sono sorprendenti. Questo minerale ci consentirà di creare equipaggiamenti e armi completamente nuovi di qualità estrema. L'unico problema è che dobbiamo trovare di più di questa risorsa. Sig. Riggs, può cercare grandi condensazioni di Cristalli di Ferdonite Intrecciati usando lo Scanner Orbitale?
DIALOG/familiarity/ashley_crystal_pure_red_01;Incredibile, questi cristalli rossi sono davvero enormi. Guarda come la luce si diffonde sotto la loro superficie. È ipnotizzante.
DIALOG/familiarity/ashley_crystal_pure_red_03;Ottimo, andiamo lì non appena avremo raggiunto l'obiettivo attuale.
DIALOG/familiarity/ashley_crystal_pure_red_05;Abbiamo finito di studiare la gestione della Rhodonite. Possiamo iniziare a studiare nuove armi e torri basate sul laser. Saranno un'eccellente aggiunta al nostro arsenale. Tuttavia, dovremo prima raccogliere un po' di Rhodonite per creare il nuovo equipaggiamento.
DIALOG/familiarity/ashley_gnerot_01;Queste rocce si stanno muovendo. Wow, queste non sono rocce. Sono creature viventi.
DIALOG/familiarity/ashley_gnerot_02;Ok. Useremo esplosivi o armi energetiche se necessario.
DIALOG/familiarity/ashley_magnetic_boulder_01;Guarda questo oggetto. È enorme e fluttua nell'aria come se non pesasse nulla.
DIALOG/familiarity/ashley_magnetic_boulder_02;Sembra alieno, su un pianeta alieno. Teniamoci alla larga. Mi ricorda come ho perso il braccio.
DIALOG/familiarity/ashley_magnetic_boulder_03;I dati che abbiamo raccolto su queste strane rocce magnetiche sono affascinanti. La loro struttura non assomiglia a nulla di ciò che abbiamo visto finora. Generano un forte campo elettromagnetico e possono distorcere la gravità. Questo non dovrebbe essere possibile.
DIALOG/familiarity/ashley_magnetic_boulder_04;Non possiamo frantumarle, ma forse potremmo dissolverle. Un acido abbastanza forte potrebbe fare al caso nostro.
DIALOG/familiarity/ashley_moltug_01;Cosa? Cosa hai detto adesso?
DIALOG/familiarity/ashley_moltug_02;Stai crollando a causa del caldo?
DIALOG/familiarity/ashley_moltug_03;Cosa? Certo che no. Qualcuno ha rovinato la tua programmazione.
DIALOG/familiarity/ashley_moltug_04;Certo che lo eri. Sei la migliore IA su questo pianeta...
DIALOG/familiarity/ashley_mushroom_spiky_bulb_red_01;Interessante, sembra che questa forma di vita contenga grandi quantità di Hazenite in forma cristallizzata. Se potessimo raccogliere più campioni di questa specie, potremmo imparare come ottenere maggiori quantità di Hazenite per creare equipaggiamento e armi migliori.
DIALOG/familiarity/ashley_mushroom_spiky_bulb_red_02;È un'idea eccellente, signor Riggs. La nostra Equipaggiamento potrebbe sicuramente aver bisogno di un aggiornamento.
DIALOG/familiarity/ashley_mushroom_spiky_bulb_red_03;È stato super veloce. Sembra che ci siano un sacco di queste piante, o funghi, o come dovremmo chiamarli qui vicino. Possiamo lavorare sulla categorizzazione corretta non appena studieremo altri campioni di questa specie.
DIALOG/familiarity/ashley_mushroom_spiky_bulb_red_04;Abbiamo finito di studiare la manipolazione dell'Hazenite. È un minerale affascinante! La conoscenza che abbiamo acquisito ci consentirà di costruire nuove armi ad alta energia e armature molto migliori. L'unica avvertenza è che dovremo raccogliere più minerale per creare effettivamente alcuni di questi nuovi giocattoli.
DIALOG/familiarity/green_radioactive_crystal_mech_01;Questi cristalli verdi emettono un sacco di radiazioni gamma. Cerca di non starci troppo vicino, o danneggeranno la mia armatura.
DIALOG/familiarity/mech_cactus_pear_blue_01;Possiamo usare la tanzanite come catalizzatore per la produzione di armamenti e attrezzature ad alta energia. Sarebbe fantastico se potessimo raccogliere quantità maggiori di questo minerale per creare qualcosa di utile.
DIALOG/familiarity/mech_cactus_pear_blue_02;Ashley, ho già individuato un luogo interessante con gruppi densi di questi cactus. È lì vicino e possiamo saltarci attraverso l'interfaccia Orbital Scanner.
DIALOG/familiarity/mech_cactus_pear_blue_03;Abbiamo terminato la ricerca sulla gestione della Tanzanite. Possiamo iniziare a ricercare nuove armi ed equipaggiamenti basati su questo minerale. Tuttavia, tieni presente che dovremo ottenere questa risorsa per creare queste nuove invenzioni. I Purple Cacti, in cui abbiamo scoperto originariamente la Tanzanite, potrebbero essere una buona pista.
DIALOG/familiarity/mech_crystal_entwined_blue_01;Questo cristallo contiene un minerale raro chiamato Ferdonite. Può essere utilizzato per la manipolazione del campo gravitazionale se combinato con un potente campo magnetico. Non esiste sulla Terra.
DIALOG/familiarity/mech_crystal_entwined_blue_02;Ricevuto, Ashley. Scansione orbitale in corso. Non dovrebbe richiedere molto tempo.
DIALOG/familiarity/mech_crystal_entwined_blue_03;Scansione orbitale terminata. Ho individuato una posizione potenzialmente ricca di Ferdonite. Le coordinate del salto di rift sono contrassegnate sull'interfaccia dello scanner orbitale.
DIALOG/familiarity/mech_crystal_entwined_blue_04;Ricevuto, Ashley. Ho individuato una posizione potenzialmente ricca di Ferdonite. Le coordinate del salto di spaccatura sono segnate sull'interfaccia Orbital Scanner.
DIALOG/familiarity/mech_crystal_pure_red_01;Contengono anche molta rodonite. Possiamo usare questo minerale per costruire emettitori laser ad alta potenza per le nostre armi e altre attrezzature.
DIALOG/familiarity/mech_crystal_pure_red_02;Questi cristalli sono relativamente comuni in questo bioma, tuttavia, ho rilevato un luogo interessante con una con una concentrazione molto alta della loro crescita. Dovrebbe esserci molta Rhodonite in quell'area. Ho contrassegnato le coordinate del salto di spaccatura sull'interfaccia Orbital Scanner.
DIALOG/familiarity/mech_crystal_pure_red_03;I cristalli rossi che contengono Rhodonite sono relativamente comuni nel bioma Acidic Plains. Tuttavia, ho rilevato un luogo interessante con una condensazione della loro crescita molto al di sopra della norma. Dovrebbe esserci molta Rhodonite in quell'area. Ho contrassegnato le coordinate del salto di spaccatura sull'interfaccia Orbital Scanner.
DIALOG/familiarity/mech_gnerot_01;Fai attenzione Ashley, è enorme e la mia lama potente rimbalzerà solo come i proiettili normali.
DIALOG/familiarity/mech_magnetic_boulder_01;Sta emettendo un potente campo magnetico. Sta interrompendo la maggior parte della mia Equipaggiamento. Non saremo in grado di costruire alcun edificio nella sua immediata area di effetto.
DIALOG/familiarity/mech_magnetic_boulder_02;Sono anche invulnerabili a tutte le nostre armi e attrezzature standard. Sono praticamente indistruttibili.
DIALOG/familiarity/mech_moltug_01;Ślimak, ślimak, co tu robisz? Taki ładny, taki tłusty, będzie z Ciebie wór kapusty.
DIALOG/familiarity/mech_moltug_02;Non ho detto niente.
DIALOG/familiarity/mech_moltug_03;No, stai allucinando?
DIALOG/familiarity/mech_moltug_04;La mia programmazione è impeccabile. Sono stato progettato e perfezionato da alcuni dei migliori programmatori che l'umanità abbia mai visto.
DIALOG/familiarity/mech_mushroom_spiky_bulb_red_01;Possiamo usare l'Orbital Scanner per cercare popolazioni più grandi di questa forma di vita. La loro presenza dovrebbe condurci a quantità maggiori di Hazenite.
DIALOG/familiarity/mech_mushroom_spiky_bulb_red_02;Scansione orbitale terminata. Rilevata posizione potenzialmente ricca di Hazenite. Ho contrassegnato le coordinate del salto di rift sull'interfaccia dello scanner orbitale.
DIALOG/familiarity/stregaros_ashley_01;La specie Stregaros è affascinante. Il suo carapace è costituito da una forma incredibilmente forte e leggera di placcatura carbo-chitinosa. È perfetta per questi deserti sabbiosi poiché consente a queste creature di muoversi rapidamente sulle sabbie mobili nonostante la loro massa. Abbiamo raccolto abbastanza campioni per iniziare a ricercare una nuova tecnologia che ci consentirà di posizionare speciali piastrelle per pavimenti sulle sabbie mobili che impediranno ai nostri edifici di affondare.
DIALOG/generic/ashley_respawn_01;Sono tornato tutto intero, ma ci è voluto un po'. Come sta, signor Riggs?
DIALOG/generic/ashley_rift_jump_successful_01;Sensori online. Armi attivate. Siamo pronti a partire.
DIALOG/generic/ashley_start_drilling_01;Ok. Spostatevi sul deposito e iniziate a perforare.
DIALOG/generic/ashley_treasure_found_01;Ehi! Abbiamo trovato qualcosa!
DIALOG/generic/ashley_treasure_found_02;Bingo! C'è qualcosa nascosto qui sottoterra.
DIALOG/generic/ashley_treasure_found_03;Anomalia rilevata. Vediamo cosa è sepolto qui.
DIALOG/generic/ashley_warning_nest_wave_spawn_01;Attenzione. Un nuovo gruppo di creature ostili sta arrivando da un nido vicino.
DIALOG/generic/ashley_warning_nest_wave_spawn_02;Attenzione. Creature ostili stanno arrivando da un nido vicino. Dovremmo andare lì e ripulirlo.
DIALOG/generic/houston_begin_field_base_setup;Ricevuto. Inizia la configurazione della base del campo.
DIALOG/generic/houston_confirm_01;Ricevuto!
DIALOG/generic/houston_confirm_02;Ricevuto!
DIALOG/generic/houston_confirm_03;Ti sentiamo forte e chiaro.
DIALOG/generic/houston_new_building_01;Un nuovo edificio è ora disponibile per la costruzione.
DIALOG/generic/houston_riftbreaker_please_report;Riftbreaker Ashley, per favore, segnalacelo.
DIALOG/generic/mech_attack_incoming_01;Rilevo un folto gruppo di creature che si sta dirigendo verso la nostra posizione.
DIALOG/generic/mech_attack_incoming_02;Attenzione! Un folto gruppo di creature si sta radunando vicino alla nostra base. Preparatevi per un attacco in arrivo.
DIALOG/generic/mech_attack_incoming_03;Attenzione! Un'orda aggressiva si sta radunando vicino alla nostra base. Preparatevi a difenderla.
DIALOG/generic/mech_attack_incoming_04;Attenzione! Un gruppo ostile di creature si sta dirigendo verso la nostra base. Preparatevi per un attacco in arrivo.
DIALOG/generic/mech_attack_incoming_05;Attenzione! Un attacco nemico è imminente. Dovremmo costruire difese più forti attorno alla nostra base.
DIALOG/generic/mech_attack_incoming_06;Attenzione! Creature ostili si stanno avvicinando alla nostra base. Preparatevi a un attacco.
DIALOG/generic/mech_attack_start_01;Pericolo! Le creature nemiche si stanno avvicinando. Preparati a combattere.
DIALOG/generic/mech_attack_start_02;Pericolo! Creature ostili si stanno avvicinando alla nostra base. Preparatevi alla battaglia.
DIALOG/generic/mech_attack_start_03;Pericolo! Uno sciame ostile si sta avvicinando alla nostra base. Sono quasi su di noi.
DIALOG/generic/mech_attack_start_04;Pericolo! Uno sciame nemico si sta avvicinando alla nostra base. Preparatevi al combattimento.
DIALOG/generic/mech_attack_start_05;Pericolo! Un'orda aggressiva è entrata nell'area. È a meno di un minuto di distanza.
DIALOG/generic/mech_carbonium_deposit_located_01;Abbiamo individuato un giacimento di carbonio.
DIALOG/generic/mech_death_01;La mia armatura è stata distrutta. Creazione di una spaccatura per tornare alla base. Autodistruzione in corso.
DIALOG/generic/mech_health_low_01;Integrità strutturale compromessa.
DIALOG/generic/mech_health_low_02;La mia armatura è gravemente danneggiata.
DIALOG/generic/mech_respawn_01;Non posso dire che mi piaccia essere ricostruito, ma almeno ho la vernice fresca.
DIALOG/generic/mech_rift_jump_successful_01;Salto nella fenditura riuscito.
DIALOG/generic/mech_treasure_found_01;Anomalia rilevata.
DIALOG/generic/mech_treasure_found_02;Scansione completata. Rilevata anomalia non messa a terra.
DIALOG/generic/mech_treasure_found_03;Ashley. Abbiamo trovato qualcosa.
DIALOG/generic/mech_warning_nest_wave_spawn_01;Attenzione. Un nuovo gruppo di creature ostili sta arrivando da un nido vicino.
DIALOG/generic/mech_warning_nest_wave_spawn_02;Attenzione. Creature ostili stanno arrivando da un nido vicino. Dovremmo andare lì e ripulirlo.
DIALOG/objective/ashley_build_armory_01;E produrrà più munizioni per le tue armi. Sì, è un edificio importante.
DIALOG/objective/ashley_build_carbonium_factory_01;Sì, abbiamo cose molto più interessanti da fare. Automatizziamo questo.
DIALOG/objective/ashley_build_comm_hub_01;Ok. Ricordiamoci di costruire delle centrali elettriche aggiuntive per questo. Consuma un sacco di energia.
DIALOG/objective/ashley_build_hq_01;Non abbiamo abbastanza carbonio per costruire un quartier generale. Cerchiamo un deposito e installiamo la nostra base lì vicino. Dobbiamo muoverci in fretta. Probabilmente è solo questione di tempo prima che i nativi ci individuino.
DIALOG/objective/ashley_build_hq_02;Infine, mettiamolo vicino a un deposito di carbonio. Questo ci aiuterà ad accelerare la produzione di risorse.
DIALOG/objective/ashley_build_outpost_01;Ci consentirà anche di trasferire automaticamente tutte le risorse estratte in questa posizione al nostro quartier generale, anche se non siamo presenti in questa posizione. Possiamo costruire una rete di tali avamposti in tutto il pianeta per costruire la nostra economia. È l'unico modo per acquisire risorse sufficienti per costruire la Rift Station e tutti i suoi componenti.
DIALOG/objective/ashley_build_power_plant_01;Le turbine eoliche sono meno efficaci, ma funzionano 24 ore su 24. Le centrali elettriche al carbonio sono molto efficaci, ma consumano i depositi su cui sono posizionate.
DIALOG/objective/ashley_build_tower_ammo_factory_01;Possiamo anche ampliare le nostre riserve di munizioni sia per le vostre armi che per le torri costruendo appositi depositi.
DIALOG/objective/ashley_craft_items_01;È una buona idea. Gli attacchi nemici stanno diventando sempre più forti, abbiamo bisogno di armi migliori.
DIALOG/objective/ashley_harvest_encounter_01;Avviciniamoci e raccogliamolo per ulteriori indagini. Fai solo attenzione a non distruggerlo.
DIALOG/objective/ashley_harvest_start_01;Sembra interessante. Andiamo a controllare cosa sta causando questo.
DIALOG/objective/ashley_kill_boss_encounter_01;Uccidetelo prima che uccida noi. Finiremo di studiarlo in laboratorio.
DIALOG/objective/ashley_kill_boss_end_01;Mi chiedo cosa lo abbia reso così aggressivo. Forse potremo imparare qualcosa di importante dopo averlo studiato in laboratorio.
DIALOG/objective/ashley_kill_boss_start_01;Sembra un interessante esemplare di ricerca. Dovremmo andare sul posto e vedere cosa possiamo imparare.
DIALOG/objective/ashley_nest_encounter_01;Ce ne sono molti dentro. Potrebbe essere difficile!
DIALOG/objective/ashley_nest_end_01;Ogni piccolo aiuto è prezioso...
DIALOG/objective/ashley_nest_multiple_end_01;Sembra l'ultimo di quei nidi. Questo dovrebbe farli rilassare un po'.
DIALOG/objective/ashley_nest_multiple_start_01;Se non facciamo qualcosa al riguardo, alla fine sopraffaranno la nostra base. Agiamo in fretta.
DIALOG/objective/ashley_nest_start_01;Interessante. Dovremmo andare a investigare quella zona.
DIALOG/objective/ashley_presence_detected_01;Probabilmente c'è uno sciame di nativi curiosi che si sta radunando per farci visita mentre parliamo. Sarebbe meglio parlare con loro da dietro qualche muro.
DIALOG/objective/ashley_presence_detected_02;Dobbiamo supporre che non siamo benvenuti qui. Ricordatevi di usare i kit di riparazione se necessario.
DIALOG/objective/ashley_research_technology_01;Dovremmo iniziare a scaricare nuove tecnologie il prima possibile. Il nostro equipaggiamento per il salto della spaccatura includeva solo alcuni progetti di base.
DIALOG/objective/ashley_scan_resources_encounter_01;Sembra un ottimo posto per cercare giacimenti minerari vicino alla superficie.
DIALOG/objective/ashley_scan_resources_end_01;Bingo! Abbiamo qualcosa qui.
