;ITALIAN
DIALOG/story/headquarters/mech_ending_stay_13;Beh, hai ciò che hai chiesto, Ashley.
DIALOG/story/endgame/mech_qcl_start_01;Dispiegamento della base per il Laboratorio Cortex Quantico in corso. 
DIALOG/story/endgame/ashley_qcl_start_01;Eccellente, una volta online potremo iniziare a riadattare ulteriori schemi per Megastrutture più grandi. Dobbiamo suddividere i loro progetti in parti più piccole che possiamo costruire pezzo per pezzo. 
DIALOG/story/endgame/mech_qcl_start_02;Ashley, ricorda che questa è solo la base e il databank di elaborazione centrale di questa struttura. Questo impianto ci permetterà di archiviare ed elaborare dataset enormi anche quando non sarà sufficientemente alimentato. Tuttavia, se vogliamo sfruttarne le capacità di calcolo dovremo fornire enormi quantità di plasma sovraccaricato ed energia per mantenere operativo il Cortex Quantico. Inoltre, se vogliamo sbloccare il pieno potenziale di questa struttura, dovremo ricercare gli schemi di costruzione dei moduli rimanenti in una forma compatibile con i miei sistemi di assemblaggio.
DIALOG/story/endgame/ashley_qcl_start_02;Ricevuto. Ho già contrassegnato specifiche Megastrutture da riadattare. Quando saremo pronti, potremo iniziare a reintegrare i piani per il Centro di Produzione dello Sciame Nanobot, la Lente Ipergravitazionale e il Laboratorio di Sostenibilità Idroponica. Dopo il completamento di queste tre Megastrutture, potremo passare alla più complessa: l’Officina di Arcologia.
DIALOG/story/endgame/mech_qcl_start_03;Come intendi usare queste tecnologie, Ashley?
DIALOG/story/endgame/ashley_qcl_start_03;Le missioni di colonizzazione guidate dai Riftbreaker seguono di solito un flusso standard. Fase uno: stabilire una base operativa avanzata con una Stazione di Fenditura quantisticamente intrecciata collegata alla Terra. Fase due: le forze di spedizione terrestri rinforzano la base avanzata con forza schiacciante e costruiscono rapidamente l’economia in loco estraendo a strascico la superficie del pianeta e usando le sue risorse senza limiti. Fase tre: enormi complessi industriali divorano il paesaggio locale, spostando o distruggendo in modo permanente l’ecosistema in nome dell’efficienza e del controllo. Fase quattro: una volta che il pianeta è completamente sottomesso e ristrutturato, arrivano i coloni civili ad insediarsi su ciò che resta, spesso ignari di ciò che è stato cancellato per far loro spazio. Voglio interrompere la Fase 2 e la Fase 3 di questo processo.
DIALOG/story/endgame/mech_qcl_start_04;La Fase 2 e la Fase 3 sono necessarie per creare condizioni di vita sicure per i futuri coloni. Il protocollo di colonizzazione indica che il loro impatto sull’ecosistema locale dovrebbe essere minimo.
DIALOG/story/endgame/ashley_qcl_start_04;All’inizio funzionava così, ma le cose sono cambiate, Mr. Riggs. Pensa a cosa è successo su Solune 6, Vaelora 12 o anche su Ephorion 9b. La storia recente mostra che la Fase Due e la Fase Tre diventano un pretesto per uno sfruttamento industriale sfrenato. Il collasso della Fenditura ci ha comprato tempo extra da usare per preparare il pianeta a una coabitazione guidata dalla tecnologia. Queste Megastrutture ci permetteranno di affermare che Galatea 37 è pronta per la Fase Quattro del processo di colonizzazione.
DIALOG/story/endgame/mech_qcl_start_05;Mi dispiace, Ashley, ma ancora non capisco lo scopo specifico che hai in mente per questi edifici.
DIALOG/story/endgame/ashley_qcl_start_05;In breve: il Centro di Produzione e Controllo dello Sciame Nanobot ci darà la capacità di costruire strutture enormi senza introdurre macchine di fabbricazione su scala cittadina. La Lente Ipergravitazionale ci permetterà di portare oggetti grandi come le arcologie in orbita senza costruire spaceport. Il Laboratorio di Sostenibilità Idroponica ci consentirà di studiare e produrre cibo per i coloni in modo sostenibile. Dovrebbe anche aumentare l’efficienza dei nostri coltivatori, così da estrarre le risorse necessarie dal pianeta in modo più “amico”. L’Officina di Arcologia ci permetterà di costruire colonie temporanee autosufficienti per le persone che arrivano su Galatea 37. Questo darà loro il tempo di adattarsi alle condizioni locali in un ambiente sicuro.
DIALOG/story/endgame/mech_qcl_start_06;Un’arcologia è una città semi autosufficiente. Se la costruiamo direttamente in orbita sopra il pianeta, sarà al riparo dalla fauna locale. L’infrastruttura che avremo costruito a terra sarà sufficiente a sostenerla. Credo di aver capito quella parte, ma perché la gente dovrebbe vivere in una città nello spazio se l’obiettivo è colonizzare il pianeta?
DIALOG/story/endgame/ashley_qcl_start_06;Le arcologie rimarranno in orbita finché i coloni non troveranno condizioni ottimali per un insediamento a terra. In seguito, dovranno atterrare ed espandere lentamente i loro habitat sul pianeta. È un vecchio concetto teorico di colonizzazione proposto per la prima volta dagli astrobiologi Vyremsky e Bomack alla fine del ventunesimo secolo. Non ho inventato tutto questo. Sulla Terra ci sono molte persone intelligenti che sapranno come prendersi cura di questo pianeta. Voglio poter passare direttamente a loro le redini.
DIALOG/story/endgame/mech_qcl_start_07;Ok, inizia ad avere senso. Salverò il resto delle domande per dopo.
DIALOG/story/endgame/ashley_qcl_start_07;Grazie, Mr. Riggs. Ora torniamo al lavoro.
DIALOG/story/endgame/mech_qcl_complete_01;Costruzione del Laboratorio Cortex Quantico completata. Integrità della struttura primaria confermata. Il databank di elaborazione centrale funziona a parametri ottimali.
DIALOG/story/endgame/ashley_qcl_complete_01;Perfetto. Grazie alla maggiore capacità di memoria di lavoro, possiamo finalmente iniziare a riformattare gli schemi delle Megastrutture. I progetti del Centro di Controllo dello Sciame Nanobot, della Lente Ipergravitazionale e del Laboratorio di Sostenibilità Idroponica sono disponibili per l’adattamento.
DIALOG/story/endgame/mech_qcl_complete_02;Teoricamente potremmo rielaborare questi schemi anche senza alimentare il Cortex Quantico. Tuttavia, questo edificio da solo è più potente di tutta la nostra infrastruttura di ricerca esistente messa insieme. Consiglio di fornire il plasma sovraccaricato e l’energia richiesti per portare la struttura alla piena capacità operativa.
DIALOG/story/endgame/ashley_qcl_complete_02;Possiamo rendere il Laboratorio Cortex Quantico ancora più efficiente aggiornandolo con tutti i componenti rimanenti. Così potremmo ricercare le restanti Megastrutture molto più velocemente. 
DIALOG/story/endgame/mech_qcl_complete_03;Giusto punto, Ashley. Controlla per favore i requisiti di risorse per ogni Megastruttura. Consumano tipi di risorse diversi. Potrebbe essere efficiente costruirle fuori ordine man mano che le risorse richieste diventano disponibili.
DIALOG/story/endgame/ashley_qcl_upgrade_01_start_01;Il Coriolis Plasma Nullifier per il Laboratorio Cortex Quantico ci aiuterà a ridurre la deriva rotazionale negli array di plasma. Migliorerà la stabilità operativa del laboratorio alle frequenze più alte.
DIALOG/story/endgame/mech_qcl_upgrade_01_start_01;Affermativo. Assemblaggio del Nullifier in corso. Questo componente sopprimerà le distorsioni laterali nel flusso di plasma sovraccaricato, migliorando così la velocità di elaborazione complessiva.
DIALOG/story/endgame/mech_qcl_upgrade_01_complete_01;Aggiornamento completato: Coriolis Plasma Nullifier installato nel Laboratorio Cortex Quantico. Il flusso di plasma si è stabilizzato. Le fluttuazioni laterali sono scese a livelli trascurabili.
DIALOG/story/endgame/ashley_qcl_upgrade_01_complete_01;Eccellente. Questo upgrade ha migliorato sensibilmente la nostra velocità di ricerca complessiva. Possiamo migliorarla ulteriormente costruendo altri componenti del QCL.
DIALOG/story/endgame/ashley_qcl_upgrade_02_start_01;Sto installando la Centrifuga a Ipercondensato Stabilizzato per il QCL. Il laboratorio ha bisogno di un ambiente condensato stabile per la conservazione ad alta fedeltà dei dati durante cicli prolungati.
DIALOG/story/endgame/mech_qcl_upgrade_02_start_01;Inizio assemblaggio della centrifuga. Una volta stabilizzata, questo modulo ridurrà la decoerenza quantistica e migliorerà la consistenza computazionale del reticolo neurale durante le operazioni prolungate.
DIALOG/story/endgame/mech_qcl_upgrade_02_complete_01;Aggiornamento del Laboratorio Cortex Quantico completato. Centrifuga a Ipercondensato Stabilizzato online. I sistemi core mostrano ora un aumento del 63% dell’integrità dei dati sotto carichi di elaborazione elevati.
DIALOG/story/endgame/ashley_qcl_upgrade_02_complete_01;Eccellente. Le simulazioni di lungo periodo saranno molto più affidabili. Siamo un passo più vicini alla piena capacità operativa del QCL.
DIALOG/story/endgame/ashley_qcl_upgrade_03_start_01;Avvio l’installazione dell’Acceleratore Ionico a Plasma Sovraccaricato per il QCL. Per sfruttare appieno il Cortex Quantico, dobbiamo migliorarne l’efficienza di trattamento del plasma.
DIALOG/story/endgame/mech_qcl_upgrade_03_start_01;Ricevuto. Questo modulo migliorerà significativamente l’efficienza di erogazione dell’energia su tutti i canali di calcolo neurale. I protocolli di regolazione del plasma sono ora attivi.
DIALOG/story/endgame/mech_qcl_upgrade_03_complete_01;Aggiornamento del Laboratorio Cortex Quantico finito. Installazione dell’Acceleratore Ionico a Plasma Sovraccaricato completata. L’efficienza di trattamento del plasma del Cortex Quantico è aumentata del 67,4%. La capacità di elaborazione è stata ricalibrata di conseguenza.
DIALOG/story/endgame/ashley_qcl_upgrade_03_complete_01;Eccellente, abbiamo quasi terminato gli upgrade del QCL. Ne manca solo uno.
DIALOG/story/endgame/ashley_qcl_upgrade_04_start_01;Avvio la costruzione dei Riciclatori di Materia Bruna di Kotiuk. Il Cortex Quantico sta già generando enormi quantità di scarti di plasma raffreddato. Ci serve un modo per processare efficientemente quella materia bruna e recuperare l’energia residua.
DIALOG/story/endgame/mech_qcl_upgrade_04_start_01;Ricevuto. Inizializzo il dispiegamento dei contenitori. Questi sistemi isoleranno e neutralizzeranno i residui di plasma, accelereranno la gestione degli scarti e ricicleranno l’energia termica residua nel circuito di alimentazione del Cortex Quantico.
DIALOG/story/endgame/mech_qcl_upgrade_04_complete_01;Aggiornamento del Laboratorio Cortex Quantico completato. I Riciclatori di Materia Bruna di Kotiuk sono pienamente operativi. Il flusso di materia bruna è stabilizzato. I sistemi di recupero energetico operano alla massima efficienza. Tutti i sottosistemi core riportano piena sincronizzazione. Il Laboratorio Cortex Quantico ha raggiunto il 100% della capacità operativa.
DIALOG/story/endgame/ashley_qcl_upgrade_04_complete_01;Eccellente. Con l’intero sistema al massimo, ora possiamo elaborare, adattare e distribuire gli schemi delle Megastrutture senza ritardi. È stata un’impresa enorme: non c’è da stupirsi che queste Megastrutture non siano pensate per essere costruite dai Riftbreaker.
DIALOG/story/endgame/mech_qcl_upgrade_04_complete_02;Il tuo comportamento non rientra nello stereotipo tipico dei Riftbreaker, Ashley.
DIALOG/story/endgame/ashley_ghl_start_01;Avvio il dispiegamento della base della Lente Ipergravitazionale. Una volta operativa, ci permetterà di spostare in orbita strutture massicce, come officine di costruzione in gravità zero o arcologie, senza ricorrere a sistemi di lancio convenzionali e spaceport. Sfortunatamente, non può aiutarci a spostare oggetti più piccoli come gli edifici della base.
DIALOG/story/endgame/mech_ghl_start_01;È una struttura altamente specializzata. È composta da quattro Generatori di Raggi Gravitone Fase‑coerenti simmetrici e da un’antenna di lente centrale. È difficile da mantenere a causa del calore intenso generato da questi componenti. Le sue temperature operative sono troppo elevate per i meccanismi di raffreddamento tipici.
DIALOG/story/endgame/ashley_ghl_start_02;Dovremo predisporre una rete di Raffinerie di Super Refrigerante per mantenere in funzione questa macchina. Potrà essere impegnativo costruirla e mantenerla, ma è un elemento chiave del nostro piano. 
DIALOG/story/endgame/mech_ghl_start_02;È una macchina meravigliosa, Ashley, ma non sarebbe più semplice costruire gli insediamenti a terra fin dall’inizio?
DIALOG/story/endgame/ashley_ghl_start_03;È esattamente così che si svolgerebbero la Fase Due e la Fase Tre del processo standard di colonizzazione. Le spedizioni militari si aprirebbero la strada dalla Stazione di Fenditura verso le aree più ricche di risorse. Distruggerebbero tutto lungo il percorso e ucciderebbero tutta la fauna locale percepita come minaccia. Le colonie aeree possono essere facilmente spostate in luoghi più remoti e sicuri. Grazie ai nostri sforzi, i ricercatori che arriveranno qui potranno individuare aree più sicure prima di far atterrare le loro arcologie.
DIALOG/story/endgame/mech_ghl_start_03;Non abbiamo incontrato una sola posizione priva di fauna ostile. 
DIALOG/story/endgame/ashley_ghl_start_04;È vero, ma non abbiamo nemmeno provato a evitarla. Siamo saltati in un punto casuale del pianeta e ci siamo aggrappati alla sopravvivenza. So che il conflitto è inevitabile, ma possiamo ridurlo al minimo.
DIALOG/story/endgame/mech_ghl_complete_01;Costruzione della Lente Ipergravitazionale completata. L’antenna di lensing primaria è pronta per l’operazione. I protocolli di manipolazione di massa a lungo raggio sono pronti per i test.
DIALOG/story/endgame/ashley_ghl_complete_01;Questa struttura non ci offre molti vantaggi nella costruzione su piccola scala. Tuttavia, l’antenna di lensing gravitazionale può essere abbinata allo Scanner Orbitale per aiutarci durante le missioni di esplorazione. Aumenterà la precisione delle nostre letture della forza gravitazionale, consentendoci di rilevare vari punti di interesse all’interno di una data località planetaria.
DIALOG/story/endgame/mech_ghl_complete_02;Corretto, Ashley. Tuttavia, ricorda che questo edificio deve essere alimentato per fornire tale vantaggio. Richiede una quantità considerevole di Super Refrigerante ed Energia per funzionare.
DIALOG/story/endgame/ashley_ghl_complete_02;Questo è solo il primo passo. Sono necessari quattro Generatori di Raggi Gravitone Fase‑coerenti aggiuntivi per poter spostare un’Arcologia in orbita. Dobbiamo completare tutti i suoi componenti per renderla pienamente operativa. 
DIALOG/story/endgame/mech_ghl_generator1_01;Inizio costruzione del primo Generatore di Raggio Gravitone Fase‑coerente. Questa unità fungerà da ancoraggio di base per l’intero array. La loro calibrazione deve essere molto precisa.
DIALOG/story/endgame/ashley_ghl_generator1_01;Ricevuto. Una volta online questo generatore, possiamo iniziare a costruire il successivo. Devono essere realizzati in ordine sequenziale.
DIALOG/story/endgame/mech_ghl_generator1_02;Generatore di Raggio Gravitone Fase‑coerente Uno per la Lente Ipergravitazionale operativo. Stabilità dell’output confermata. In attesa di sincronizzazione con unità aggiuntive.
DIALOG/story/endgame/ashley_ghl_generator1_02;Eccellente. Questo generatore ci permetterà di rilevare più punti di interesse durante la ricognizione di nuove aree. Prepariamoci a costruire il prossimo generatore.
DIALOG/story/endgame/mech_ghl_generator2_01;Avvio dispiegamento del secondo Generatore di Raggio Gravitone. Calibrazione del differenziale di fase in corso.
DIALOG/story/endgame/ashley_ghl_generator2_01;Copiato. Con questa unità online, possiamo iniziare a testare il controllo direzionale sull’array di lensing.
DIALOG/story/endgame/mech_ghl_generator2_02;Generatore di Raggio Gravitone Fase‑coerente Due per la Lente Ipergravitazionale completato. Modulazione a doppio raggio sincronizzata. Avvio test di modulazione direzionale.
DIALOG/story/endgame/ashley_ghl_generator2_02;Questa unità ci permetterà di rilevare ancora più punti di interesse durante le missioni di esplorazione. Stiamo facendo buoni progressi. Ancora due e questa Megastruttura sarà pienamente operativa.
DIALOG/story/endgame/mech_ghl_generator3_01;Inizio costruzione del terzo Generatore di Raggio Gravitone Fase‑coerente. I sistemi di sincronizzazione del raggio si preparano all’integrazione.
DIALOG/story/endgame/ashley_ghl_generator3_01;Dovremo ricontrollare le modifiche apportate a tutti i connettori dei componenti. Dobbiamo essere estremamente cauti con questo edificio.
DIALOG/story/endgame/mech_ghl_generator3_02;Generatore di Raggio Gravitone Fase‑coerente Tre per la Lente Ipergravitazionale attivo. Stabilizzazione del campo triangolare riuscita. Migliora la calibrazione dell’antenna di lensing.
DIALOG/story/endgame/ashley_ghl_generator3_02;Perfetto. Questo ci dà controllo spaziale su tre assi e maggiore consapevolezza situazionale durante la ricognizione di nuove missioni. Siamo a un passo dalla piena capacità operativa della GHL.
DIALOG/story/endgame/mech_ghl_generator4_01;Dispiegamento dell’ultimo Generatore di Raggio Gravitone Fase‑coerente avviato. Il completamento di questa unità abiliterà la capacità operativa completa.
DIALOG/story/endgame/ashley_ghl_generator4_01;È l’ultimo tassello del puzzle. Una volta online, potremo spostare grandi oggetti in orbita senza accendere un solo booster. Ci permetterà di tenere un’arcologia sospesa mentre gli sciami di nanobot la assemblano. Sollevare un oggetto di tali dimensioni richiederebbe un enorme sforzo con i mezzi convenzionali.
DIALOG/story/endgame/mech_ghl_generator4_02;Il Colonnello Norstrom aveva ragione su quella parte del sacrificio, Ashley. La maggior parte dei Riftbreaker non rischierebbe di prolungare la propria missione per impostare tutta questa infrastruttura elaborata. Il tuo piano è solido. Ridurrà i danni all’ecosistema galateano, ma stai mettendo in gioco la tua vita. Queste missioni dovrebbero essere completate il più rapidamente possibile per aumentare le probabilità di sopravvivenza.
DIALOG/story/endgame/ashley_ghl_generator4_02;Oh, andiamo, Mr. Riggs. La nostra base è armata fino ai denti, e posso saltare al QG ogni volta che vieni distrutto. L’ondata d’attacco che ha colpito la nostra base quando abbiamo attivato la Stazione di Fenditura è stata la sfida più dura che potessimo aspettarci. Sono più al sicuro qui che a casa.
DIALOG/story/endgame/mech_ghl_generator4_03;Stai banalizzando la questione, Ashley. Forse è questo che ti rende adatta al lavoro.
DIALOG/story/endgame/mech_ghl_generator4_04;Generatore di Raggio Gravitone Fase‑coerente Quattro per la Lente Ipergravitazionale pienamente operativo. Tutti i componenti della Megastruttura sono completi. La Lente Ipergravitazionale è ora pronta a funzionare alla massima capacità.
DIALOG/story/endgame/ashley_ghl_generator4_03;Eccellente! Finire la Lente Ipergravitazionale è un grande traguardo. Possiamo finalmente depennarla dalla lista.
DIALOG/story/endgame/mech_nanobot_start_01;Avvio costruzione del Centro di Controllo dello Sciame Nanobot. Questa struttura ci consentirà di coordinare l’attività autonoma dei nanobot su grandi cantieri.
DIALOG/story/endgame/ashley_nanobot_start_01;Eccellente. Ci serve questo centro per fabbricare Arcologie e altre strutture molto grandi. Gli sciami di nanobot ci permetteranno di costruire habitat massicci e autosufficienti senza rimodellare l’ambiente con l’industria pesante tradizionale. L’Officina di Arcologia in particolare si affida a operazioni nanobot precise per costruire strutture sospese in aria.
DIALOG/story/endgame/mech_nanobot_start_02;Una volta attivo, il Centro di Controllo Nanobot assorbe una quantità significativa di energia e richiede un numero consistente di Nuclei AI per mantenere la coordinazione. Avremo bisogno di una rete energetica stabile e di infrastrutture dedicate a supporto.
DIALOG/story/endgame/ashley_nanobot_start_02;Il Centro di Controllo Nanobot può essere un aiuto notevole nell’impostare nuove sedi di base. Una volta online, consentirà di operare da remoto un numero limitato di Nuclei AI aggiuntivi in qualsiasi località planetaria senza costruire Hub AI locali.
DIALOG/story/endgame/mech_nanobot_complete_01;La costruzione della base per il Centro di Controllo dello Sciame Nanobot è completa. L’Antenna della Rete di Controllo Operativo è sincronizzata con lo Scanner Planetario ed è pronta per operazioni di assemblaggio distribuite.
DIALOG/story/endgame/ashley_nanobot_complete_01;Grazie a questo abbinamento, potremo beneficiare dell’operatività remota di Nuclei AI aggiuntivi in altre località planetarie senza costruire Hub AI locali. Tuttavia, questa struttura deve rimanere sempre pienamente operativa. Qualsiasi interruzione comporterà l’immediata perdita della capacità estesa dei Nuclei AI.
DIALOG/story/endgame/mech_nanobot_complete_02;Permettimi di ricordarti, Ashley, che questo è solo il primo passo. Per abilitare la costruzione su larga scala di un’Arcologia, dobbiamo completare altri quattro componenti del Centro di Controllo dello Sciame Nanobot. Raccomando di prioritarne la ricerca e il dispiegamento il prima possibile.
DIALOG/story/endgame/ashley_nanobot_complete_02;Ci servirà molto più Titanio per finire. Mettiamoci al lavoro.
DIALOG/story/endgame/mech_nanobot_upgrade_01_start_01;Inizio costruzione della Prima Forgia Nanitica. Questo componente aumenterà la capacità produttiva del Centro di Controllo dello Sciame Nanobot.
DIALOG/story/endgame/ashley_nanobot_upgrade_01_start_01;Questo aumenterà il nostro limite di Nuclei AI remoti. Con la Forgia online, potremo controllare più unità sul pianeta senza costruire Hub AI locali.
DIALOG/story/endgame/mech_nanobot_upgrade_01_complete_01;Prima Forgia Nanitica per il Centro di Controllo dello Sciame Nanobot pienamente operativa. L’output dei nanobot è aumentato in modo significativo. Sincronizzazione con i sistemi di controllo confermata.
DIALOG/story/endgame/ashley_nanobot_upgrade_01_complete_01;Eccellente. Un altro passo verso la piena autonomia. Più Nuclei AI a nostra disposizione, ovunque servano.
DIALOG/story/endgame/mech_nanobot_upgrade_02_start_01;Avvio installazione dell’Acceleratore di Atomizzazione delle Risorse. Questo componente migliorerà l’efficienza di acquisizione risorse per il Centro di Controllo dello Sciame Nanobot.
DIALOG/story/endgame/ashley_nanobot_upgrade_02_start_01;Questo aumenterà la velocità di elaborazione e ci permetterà di attivare da remoto ancora più Nuclei AI. Ogni upgrade amplia la nostra portata senza aumentare l’impronta.
DIALOG/story/endgame/mech_nanobot_upgrade_02_complete_01;L’Acceleratore di Atomizzazione delle Risorse per il Centro di Controllo dello Sciame Nanobot è online. La velocità di lavorazione delle materie prime è aumentata, permettendoci di supportare sciami di nanobot più grandi.
DIALOG/story/endgame/ashley_nanobot_upgrade_02_complete_01;Perfetto. Con l’efficienza extra, ora possiamo mantenere Nuclei AI remoti aggiuntivi senza sovraccaricare il sistema.
DIALOG/story/endgame/mech_nanobot_upgrade_03_start_01;Inizio costruzione del Riciclatore Nanobot. Questo upgrade migliorerà l’efficienza dei materiali all’interno del Centro di Controllo dello Sciame Nanobot recuperando e rielaborando i bot disattivati.
DIALOG/story/endgame/ashley_nanobot_upgrade_03_start_01;Ridurrà lo stress del sistema rimuovendo le unità inattive e liberando spazio per allocare altri Nuclei AI remoti. Stiamo costruendo una struttura di comando scalabile, un nodo alla volta.
DIALOG/story/endgame/mech_nanobot_upgrade_03_complete_01;Riciclatore Nanobot per il Centro di Controllo dello Sciame Nanobot pienamente operativo. La perdita interna di risorse è diminuita e i sistemi di recupero sono stabili.
DIALOG/story/endgame/ashley_nanobot_upgrade_03_complete_01;Questo libera banda e ci dà margine per espandere. Più Nuclei AI online e meno materiali sprecati.
DIALOG/story/endgame/mech_nanobot_upgrade_04_start_01;Upgrade finale in corso. Costruzione della Seconda Forgia Nanitica per il Centro di Controllo dello Sciame Nanobot.
DIALOG/story/endgame/ashley_nanobot_upgrade_04_start_01;Lo sciame di nanobot non è solo una questione di numeri. Per assemblare un’Arcologia serve una forza di fabbricazione abbastanza grande e stabile da supportare elementi costruttivi enormi. Senza questa forgia, lo sciame non ha sufficiente throughput per sollevare, posizionare e fondere componenti di scala megastrutturale. Una volta completato questo upgrade, potremo finalmente gestire dimensioni e complessità dell’assemblaggio su scala Arcologia.
DIALOG/story/endgame/mech_nanobot_upgrade_04_complete_01;Seconda Forgia Nanitica per il Centro di Controllo dello Sciame Nanobot operativa. La produzione di nanobot ha raggiunto la capacità di picco.
DIALOG/story/endgame/ashley_nanobot_upgrade_04_complete_01;È fatta. Questa Megastruttura è finalmente completa. Puoi depennarla dalla lista, Mr. Riggs. Ora lo sciame è abbastanza grande e veloce da supportare il processo di assemblaggio dell’Arcologia. 
DIALOG/story/endgame/mech_hydroponic_start_01;Avvio costruzione del Laboratorio di Sostenibilità Idroponica. Il progetto base include la Torre Nanopollinatrice e una singola Stazione di Flusso Nutrizionale. Dobbiamo costruire in totale otto stazioni di processo per completare questa megastruttura.
DIALOG/story/endgame/ashley_hydroponic_start_01;Eccellente. Al suo core, questa struttura garantisce la sicurezza alimentare a lungo termine. Produce cibo vegetale ad alta efficienza per gli abitanti delle Arcologie usando un sistema idroponico a ciclo chiuso. La seconda funzione del laboratorio è l’analisi botanica. Accelera la crescita della vegetazione nella sua area operativa tramite nanopollinatori e studia continuamente la flora galateana locale per identificare specie con proprietà ideali per la produzione alimentare: crescita rapida, alta densità nutrizionale e resilienza climatica. I campioni migliori sono selezionati per la coltivazione e l’uso futuro.
DIALOG/story/endgame/mech_hydroponic_start_02;Sei sicura che questo livello di stimolazione artificiale non interferirà eccessivamente con l’ecosistema locale?
DIALOG/story/endgame/ashley_hydroponic_start_02;È una preoccupazione legittima, Mr. Riggs. Ma tutto ciò che fa il laboratorio è controllato e misurato. I nanopollinatori non sostituiscono i processi naturali: li potenziano. Stiamo solo accelerando i cicli di crescita e aiutando le specie native a raggiungere più rapidamente il loro potenziale.
DIALOG/story/endgame/mech_hydroponic_start_03;Stai applicando di fatto una pressione di selezione artificiale accelerata. Potrebbe avere implicazioni a lungo termine sulla biodiversità.
DIALOG/story/endgame/ashley_hydroponic_start_03;E noi stiamo studiando ogni variabile lungo il percorso. Il laboratorio analizza continuamente la flora locale, isola le specie più nutrienti e adattabili e le integra in sistemi alimentari sostenibili. È evoluzione — solo con guida.
DIALOG/story/endgame/mech_hydroponic_start_04;Quindi questa struttura funge sia da hub di produzione alimentare sia da centro di ricerca botanica?
DIALOG/story/endgame/ashley_hydroponic_start_04;Esatto. Nutre le persone che vivono nelle Arcologie e ci dà resilienza a lungo termine. Più comprendiamo la biologia di questo pianeta, meglio possiamo conviverci.
DIALOG/story/endgame/mech_hydroponic_complete_01;Costruzione del Laboratorio di Sostenibilità Idroponica completata. Tutti i sistemi primari sono stabili e pronti all’attivazione.
DIALOG/story/endgame/ashley_hydroponic_complete_01;Ottimo lavoro. Questa struttura richiederà quantità consistenti di Acqua filtrata e Biomassa per mantenere la produzione alimentare continua, ma mentre è operativa accelererà significativamente la crescita delle piante in tutta la regione. Dovrebbe darci un grande vantaggio nella coltivazione sostenibile delle risorse.
DIALOG/story/endgame/mech_hydroponic_complete_02;Affermativo. Tuttavia, ricorda che se intendiamo rifornire di cibo un’intera Arcologia e i suoi primi abitanti civili, dovremo completare la costruzione di tutti i componenti del Laboratorio Idroponico. 
DIALOG/story/endgame/ashley_hydroponic_complete_02;Stazioni di Flusso Nutrizionale aggiuntive aumenteranno anche l’efficienza della Torre Nanopollinatrice e accelereranno ulteriormente la crescita delle piante. 
